,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",1839147,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",1731884,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
3,"Happier Than Ever","Billie Eilish",1341557,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
4,"good 4 u","Olivia Rodrigo",1283375,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
5,"Kiss Me More (feat. SZA)","Doja Cat",1017309,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
6,"Ain't Shit","Doja Cat",829353,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
7,"MONTERO (Call Me By Your Name)","Lil Nas X",812001,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
8,"Need to Know","Doja Cat",807979,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
9,Beggin',Måneskin,804198,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
10,"Heat Waves","Glass Animals",798931,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
11,"Bad Habits","Ed Sheeran",782726,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
12,"Levitating (feat. DaBaby)","Dua Lipa",776900,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,RAPSTAR,"Polo G",735955,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
14,traitor,"Olivia Rodrigo",713711,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
15,"Wants and Needs (feat. Lil Baby)",Drake,703861,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
16,2055,"Sleepy Hallow",697558,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
17,"deja vu","Olivia Rodrigo",684584,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
18,Skate,"Bruno Mars",670292,https://open.spotify.com/track/2sXf2JdbB2GlNju00kw9WE
19,NDA,"Billie Eilish",574476,https://open.spotify.com/track/38GBNKZUhfBkk3oNlWzRYd
20,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",574107,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
21,"Leave The Door Open","Bruno Mars",564015,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
22,"Thot Shit","Megan Thee Stallion",558658,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
23,Oxytocin,"Billie Eilish",545783,https://open.spotify.com/track/4t2OeILB07eMGTXSUbMPEu
24,"Motley Crew","Post Malone",544090,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
25,"Getting Older","Billie Eilish",542314,https://open.spotify.com/track/4HOryCnbme0zBnF8LWij3f
26,"Billie Bossa Nova","Billie Eilish",530614,https://open.spotify.com/track/2KnuaZYoGzDoHiBTNYOTXG
27,"Fancy Like","Walker Hayes",512171,https://open.spotify.com/track/3ZozFqJJlDBNIm4xqxn2ZD
