,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Sucker,"Jonas Brothers",3105964,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
2,"7 rings","Ariana Grande",1773924,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
3,"MIDDLE CHILD","J. Cole",1587794,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
4,"Murder On My Mind","YNW Melly",1482516,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
5,"break up with your girlfriend, i'm bored","Ariana Grande",1477969,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
6,Wow.,"Post Malone",1463690,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
7,Robbery,"Juice WRLD",1405818,https://open.spotify.com/track/44ShclXTOOnYtt5CnCDeGV
8,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1377391,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB
9,"Going Bad (feat. Drake)","Meek Mill",1200637,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
10,Shallow,"Lady Gaga",1145329,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
11,"a lot","21 Savage",1048661,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
12,Thotiana,Blueface,998730,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
13,Talk,Khalid,996560,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
14,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",932721,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
15,"thank u, next","Ariana Grande",929304,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
16,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",893886,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
17,"Pure Water (with Migos)",Mustard,892305,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
18,"Whip (feat. Travis Scott)","2 Chainz",860566,https://open.spotify.com/track/6Z4rmc0uujCpl8yXe3yjgI
19,"Rule The World (feat. Ariana Grande)","2 Chainz",854395,https://open.spotify.com/track/1R6VwZ8TuHRzxZUxe88n4I
20,"SICKO MODE","Travis Scott",847738,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
21,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",834004,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
22,I,"Lil Skies",825835,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
23,"Look Back at It","A Boogie Wit da Hoodie",816244,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
24,"Hear Me Calling","Juice WRLD",806796,https://open.spotify.com/track/5UYK9MervBCROg8AHNeEIy
25,"bury a friend","Billie Eilish",804684,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
26,"Without Me",Halsey,796921,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
27,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",764550,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
28,Happier,Marshmello,725962,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
29,"Red Room",Offset,725452,https://open.spotify.com/track/4TWflhgevIGo448fWc6mQq
30,"Dancing With A Stranger (with Normani)","Sam Smith",721179,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
31,"i'm so tired...",Lauv,690945,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
32,NASA,"Ariana Grande",690324,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq
33,Almeda,Solange,681259,https://open.spotify.com/track/6IAgarq2wDeYzpsY2Kx0Hw
34,"Mo Bamba","Sheck Wes",680566,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
35,"Bad Girls (feat. Gucci Mane)","Lil Skies",678175,https://open.spotify.com/track/0hCHNYL8ApQCGNwJrYN1FY
36,"Lucid Dreams","Juice WRLD",658922,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
37,"Legacy (feat. Travis Scott & 21 Savage)",Offset,655534,https://open.spotify.com/track/7pMRoGLEJuFM2wl5pt0R99
38,needy,"Ariana Grande",654510,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ
39,"Please Me","Cardi B",653808,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
40,"Mixed Personalities (feat. Kanye West)","YNW Melly",648089,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
41,"Armed And Dangerous","Juice WRLD",640304,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
42,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,640218,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy
43,"Burnin' Up","Jonas Brothers",630716,https://open.spotify.com/track/68r3esIMdWpIeZqWZQDnfY
44,Better,Khalid,628089,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
45,"bad idea","Ariana Grande",620325,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg
46,"Girls Need Love (with Drake) - Remix","Summer Walker",620253,https://open.spotify.com/track/0mfCH4nfpshBQR9ueZP5eP
