,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,3236848,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Psycho (feat. Ty Dolla $ign)","Post Malone",2877840,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
3,"Look Alive (feat. Drake)","BlocBoy JB",1681321,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
4,"All The Stars (with SZA)","Kendrick Lamar",1634650,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
5,"Stir Fry",Migos,1253369,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
6,Mine,Bazzi,1243186,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
7,"Pray For Me (with Kendrick Lamar)","The Weeknd",1142453,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
8,"The Middle",Zedd,1118822,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
9,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",1088019,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
10,"Love Lies (with Normani)",Khalid,1087676,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
11,"I Fall Apart","Post Malone",1002530,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
12,rockstar,"Post Malone",996254,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
13,"44 More",Logic,856690,https://open.spotify.com/track/6iyp6udVpLuq3MCUulZT4h
14,"Ric Flair Drip (& Metro Boomin)",Offset,828011,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
15,Narcos,Migos,786076,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
16,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",757525,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
17,"Finesse - Remix; feat. Cardi B","Bruno Mars",728738,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
18,FRIENDS,Marshmello,717773,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
19,"LOVE. FEAT. ZACARI.","Kendrick Lamar",708567,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
20,"Sky Walker (feat. Travis Scott)",Miguel,652945,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
21,Betrayed,"Lil Xan",651170,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
22,"Never Be the Same","Camila Cabello",650718,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
23,"The Ways (with Swae Lee)",Khalid,641998,https://open.spotify.com/track/5jyyPsIGM2yqkZN9R3TmvN
24,"Nowadays (feat. Landon Cube)","Lil Skies",626292,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
25,IDGAF,"Dua Lipa",625990,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
