,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",1482297,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"The Box","Roddy Ricch",1481060,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Blueberry Faygo","Lil Mosey",1356161,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
4,"Don't Start Now","Dua Lipa",1013775,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
5,"Turks (feat. Travis Scott)",NAV,958440,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
6,"Say So","Doja Cat",903512,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
7,"WHATS POPPIN","Jack Harlow",895011,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
8,"Roses - Imanbek Remix","SAINt JHN",880320,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
9,Savage,"Megan Thee Stallion",831293,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
10,"Intentions (feat. Quavo)","Justin Bieber",814817,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
11,"death bed (coffee for your head)",Powfu,768602,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
12,"In Your Eyes","The Weeknd",736315,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
13,"High Fashion (feat. Mustard)","Roddy Ricch",715613,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
14,Circles,"Post Malone",715241,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,"Sunday Best",Surfaces,707955,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
16,ROXANNE,"Arizona Zervas",705926,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
17,Falling,"Trevor Daniel",699400,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
18,"Life Is Good (feat. Drake)",Future,691477,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
19,"Walk Em Down (feat. Roddy Ricch)","Roddy Ricch",660940,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
20,"Break My Heart","Dua Lipa",647343,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
21,Supalonely,BENEE,644553,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
22,"Adore You","Harry Styles",641773,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
23,"After Hours","The Weeknd",628165,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
24,P2,"Lil Uzi Vert",617050,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
25,Myron,"Lil Uzi Vert",604652,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
26,"Dance Monkey","Tones And I",602134,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
27,"Godzilla (feat. Juice WRLD)",Eminem,582632,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
28,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",570776,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
29,"That Way - Bonus Track","Lil Uzi Vert",569799,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
30,"BELIEVE IT",PARTYNEXTDOOR,561608,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
31,Heartless,"The Weeknd",541771,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
32,"Ballin' (with Roddy Ricch)",Mustard,514670,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
33,"Someone You Loved","Lewis Capaldi",494751,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
34,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",490287,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
35,"hot girl bummer",blackbear,488878,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
36,"Go Stupid (feat. NLE Choppa & Mike WiLL Made-It)","Polo G",483226,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
37,BOP,DaBaby,479018,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
38,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",471484,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
