,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",1180552,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,"All I Want for Christmas Is You","Mariah Carey",1116590,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,"Rockin' Around The Christmas Tree","Brenda Lee",1028142,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
4,positions,"Ariana Grande",995756,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
5,34+35,"Ariana Grande",967045,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
6,"Jingle Bell Rock","Bobby Helms",950968,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
7,"It's the Most Wonderful Time of the Year","Andy Williams",906506,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
8,"Santa Tell Me","Ariana Grande",897259,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
9,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",886128,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
10,"Last Christmas",Wham!,878806,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
11,Body,"Megan Thee Stallion",853691,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
12,"Therefore I Am","Billie Eilish",851905,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
13,"It's Beginning to Look a Lot like Christmas","Michael Bublé",839922,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
14,"Mood (feat. iann dior)",24kGoldn,837557,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
15,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",760315,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
16,HOLIDAY,"Lil Nas X",702722,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
17,"Underneath the Tree","Kelly Clarkson",688845,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
18,"LA NOCHE DE ANOCHE","Bad Bunny",648289,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
19,"Blinding Lights","The Weeknd",641698,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
20,"Laugh Now Cry Later (feat. Lil Durk)",Drake,627018,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
21,"WAP (feat. Megan Thee Stallion)","Cardi B",624938,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
22,"What You Know Bout Love","Pop Smoke",623130,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
23,pov,"Ariana Grande",618038,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
24,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",609766,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
25,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",581080,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
26,"Prisoner (feat. Dua Lipa)","Miley Cyrus",576952,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
27,"Sleigh Ride","The Ronettes",571851,https://open.spotify.com/track/46UMwpkxyIwzqhsaONm4wf
28,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",570840,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
29,"A Holly Jolly Christmas - Single Version","Burl Ives",563937,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
30,"Feliz Navidad","José Feliciano",559262,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
31,Whoopty,CJ,556732,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
32,Mistletoe,"Justin Bieber",545072,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
33,"Holly Jolly Christmas","Michael Bublé",526987,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
34,"The Christmas Song (Merry Christmas To You)","Nat King Cole",523202,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
35,"YO VISTO ASÍ","Bad Bunny",520574,https://open.spotify.com/track/5fROvzNghPid8mbKNDYvpJ
36,"TE MUDASTE","Bad Bunny",519219,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
37,"Lonely (with benny blanco)","Justin Bieber",485279,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
38,Heather,"Conan Gray",484804,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
39,"Wishing Well","Juice WRLD",480374,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
40,"SO DONE","The Kid LAROI",477671,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
41,"Dicked Down in Dallas","Trey Lewis",477009,https://open.spotify.com/track/1yhft6ZqYadd4GOrKrmK3a
42,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,475386,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
43,"Come & Go (with Marshmello)","Juice WRLD",470346,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
44,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",467751,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
45,"Tyler Herro","Jack Harlow",464326,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
46,Dynamite,BTS,449872,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
47,"Do They Know It's Christmas? - 1984 Version","Band Aid",448510,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
48,"HACIENDO QUE ME AMAS","Bad Bunny",437759,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
49,"you broke me first","Tate McRae",437363,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
50,"Levitating (feat. DaBaby)","Dua Lipa",435734,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
51,"Put Your Records On","Ritt Momney",429085,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
52,"Holy (feat. Chance The Rapper)","Justin Bieber",428671,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
53,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Tory Lanez",418587,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
54,"All Girls Are The Same","Juice WRLD",414363,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
55,"White Christmas","Bing Crosby",413622,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
56,"Angels Like You","Miley Cyrus",412314,https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB
57,PRACTICE,DaBaby,410513,https://open.spotify.com/track/4Z5FyQlevoHoa5FsIVKZju
58,"Forever After All","Luke Combs",409396,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
59,"Sweater Weather","The Neighbourhood",408413,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
60,"BOOKER T","Bad Bunny",403850,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
61,"Life Goes On",BTS,403064,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
62,"Somebody’s Problem","Morgan Wallen",398194,https://open.spotify.com/track/0SErdEdRcVX1uJCf1eTGYH
63,"my ex's best friend (with blackbear)","Machine Gun Kelly",394186,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
64,Sofia,Clairo,393633,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
65,"WITHOUT YOU","The Kid LAROI",393205,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
66,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",388738,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
67,"Lucid Dreams","Juice WRLD",386720,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
68,"TE DESEO LO MEJOR","Bad Bunny",382151,https://open.spotify.com/track/23XjN1s3DZC8Q9ZwuorYY4
69,Wonder,"Shawn Mendes",381099,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
70,"Martin & Gina","Polo G",379933,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
71,"Watermelon Sugar","Harry Styles",379435,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
72,"Blueberry Faygo","Lil Mosey",371795,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
73,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",369108,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
74,"Christmas (Baby Please Come Home)","Darlene Love",368165,https://open.spotify.com/track/2DomOAEa6ghF8BzOES61tK
75,Runnin,"21 Savage",366748,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
76,"Mr. Right Now (feat. Drake)","21 Savage",366106,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
77,Robbery,"Juice WRLD",365603,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
78,"MALDITA POBREZA","Bad Bunny",360027,https://open.spotify.com/track/0Lsis3LB0XAK6XlTHXaJk2
79,"Blue Christmas","Elvis Presley",355199,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
80,"Run Rudolph Run - Single Version","Chuck Berry",347631,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
81,"HOY COBRÉ","Bad Bunny",346807,https://open.spotify.com/track/0tjZv2hChdHZCW1zFXpy1J
82,"Hawái - Remix",Maluma,343155,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
83,"Santa Claus Is Coming To Town","The Jackson 5",341993,https://open.spotify.com/track/6a1hzBiTkgqTsDA0Xgfh9z
84,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,340797,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
85,"Baby, It's Cold Outside (feat. Meghan Trainor)","Brett Eldredge",339539,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK
86,"The Box","Roddy Ricch",338654,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
87,Circles,"Post Malone",335800,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
88,"Someone You Loved","Lewis Capaldi",334262,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
89,"Midnight Sky","Miley Cyrus",332171,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX
90,"LA DROGA","Bad Bunny",331149,https://open.spotify.com/track/67ACYA3UI6QMNtHX6b34wX
91,"Line Without a Hook","Ricky Montgomery",329732,https://open.spotify.com/track/5jvgec3P4jyoZUPTy2pWDR
92,"GO (feat. Juice WRLD)","The Kid LAROI",329092,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
93,"Dreams - 2004 Remaster","Fleetwood Mac",324586,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
94,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",321610,https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
95,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",320691,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
96,Daisy,Ashnikko,319226,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
97,"ALWAYS DO","The Kid LAROI",317972,https://open.spotify.com/track/3QCU8BT0zDS9LPVfEhRFEE
98,"7 Summers","Morgan Wallen",315024,https://open.spotify.com/track/0tbjiOUl4k492KPdWZS9sy
99,"Mood Swings (feat. Lil Tjay)","Pop Smoke",314578,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
100,"EL MUNDO ES MÍO","Bad Bunny",313942,https://open.spotify.com/track/36DHxTW2xdr9GG15T9oK9L
101,"SORRY PAPI","Bad Bunny",313935,https://open.spotify.com/track/5jZ32WOU7sqzDYbzINwMUk
102,"Took Her To The O","King Von",313619,https://open.spotify.com/track/7fEoXCZTZFosUFvFQg1BmW
103,"Drankin N Smokin",Future,308953,https://open.spotify.com/track/0k7wmahjkn389wAZdz19Cv
104,"Before You Go","Lewis Capaldi",304748,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
105,"Train Wreck","James Arthur",302691,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
106,"More Than My Hometown","Morgan Wallen",301899,https://open.spotify.com/track/0eBXyY4SatzpE7opnzgXvz
107,"ANTES QUE SE ACABE","Bad Bunny",301245,https://open.spotify.com/track/7kjEqI6eZ7YlFrGhxixnlN
108,120,"Bad Bunny",298619,https://open.spotify.com/track/3KJ3opyV29269SXkPrc19l
109,"POPSTAR (feat. Drake)","DJ Khaled",296683,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
110,"Jocelyn Flores",XXXTENTACION,296309,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
111,"Baby, It's Cold Outside","Dean Martin",291742,https://open.spotify.com/track/4MrfQL4TYQXJBlZYpAHTuE
112,"SLOW DANCING IN THE DARK",Joji,289677,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
113,"Daddy Issues","The Neighbourhood",288444,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
114,"Christmas (Baby Please Come Home)","Mariah Carey",286568,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN
115,"Wolves (feat. Post Malone)","Big Sean",283802,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
