,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,1587455,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
2,"Shape of You","Ed Sheeran",1506592,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1077032,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
4,Paris,"The Chainsmokers",1065548,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
5,"Fake Love",Drake,1045589,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
6,T-Shirt,Migos,958547,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
7,"Bounce Back","Big Sean",889292,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
8,"iSpy (feat. Lil Yachty)",KYLE,842255,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
9,Starboy,"The Weeknd",826217,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
10,"Bad Things (with Camila Cabello)","Machine Gun Kelly",714936,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
11,Caroline,Aminé,713826,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
12,"I Feel It Coming","The Weeknd",708590,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
13,Closer,"The Chainsmokers",683914,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
14,"Say You Won't Let Go","James Arthur",647697,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
15,"Black Beatles","Rae Sremmurd",632222,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
16,"Castle on the Hill","Ed Sheeran",586831,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
17,"X (feat. Future)","21 Savage",547654,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
18,"All Time Low","Jon Bellion",544040,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
19,"Scared to Be Lonely","Martin Garrix",542264,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
20,"Broccoli (feat. Lil Yachty)","Shelley FKA DRAM",530444,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
21,Issues,"Julia Michaels",512867,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
22,"Don't Wanna Know","Maroon 5",509719,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
23,"Call On Me - Ryan Riback Extended Remix",Starley,501293,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
24,"Kelly Price (feat. Travis Scott)",Migos,498592,https://open.spotify.com/track/204U3zjm9kkzX25Pr4Rdld
25,"No Heart","21 Savage",490244,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO
26,"How Far I'll Go - From ""Moana""","Alessia Cara",489941,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
27,"Deja Vu","J. Cole",488367,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
28,Congratulations,"Post Malone",481564,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
29,Swang,"Rae Sremmurd",475464,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
30,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",470838,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
31,Weak,AJR,469183,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
32,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",464442,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
33,"Slippery (feat. Gucci Mane)",Migos,461266,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
34,Redbone,"Childish Gambino",439122,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
35,"Call Casting",Migos,438503,https://open.spotify.com/track/0jOfl1nZf6sVBTG08Q4brn
36,"24K Magic","Bruno Mars",429184,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
37,"Party Monster","The Weeknd",429123,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
38,"Get Right Witcha",Migos,424556,https://open.spotify.com/track/76Y0gxtTxN0FyDCYh5qYQj
39,"Some Kind Of Drug (feat. Marc E. Bassy)",G-Eazy,415923,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF
40,"One Dance",Drake,415304,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
41,"Both (feat. Drake)","Gucci Mane",412085,https://open.spotify.com/track/5tFep7dXGd7vEJ668wTPux
42,"Chill Bill (feat. J. Davi$ & Spooks)","Rob $tone",410914,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
43,Sneakin’,Drake,410262,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W
44,Starving,"Hailee Steinfeld",406997,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
45,"Side To Side","Ariana Grande",401777,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
46,"Love Me Now","John Legend",399476,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
47,"Just Hold On","Steve Aoki",397050,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
48,Moves,"Big Sean",394999,https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS
49,"In the Name of Love","Martin Garrix",386533,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
50,goosebumps,"Travis Scott",384772,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
51,"All Night","The Vamps",364830,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
52,"You Was Right","Lil Uzi Vert",353677,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M
53,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance the Rapper",347678,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
54,"Don't Leave",Snakehips,339428,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
55,Mercy,"Shawn Mendes",337372,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
56,"Let Me Love You","DJ Snake",334137,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
57,"Make Me (Cry)","Noah Cyrus",331175,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
58,Heathens,"Twenty One Pilots",330035,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
59,"Chantaje (feat. Maluma)",Shakira,325788,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
60,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",325541,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
61,"pick up the phone","Young Thug",325476,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr
62,Selfish,"PnB Rock",323551,https://open.spotify.com/track/2xbI8Vmyv3TkpTdywpPyNw
63,"Love On The Brain",Rihanna,320976,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
64,"Six Feet Under","The Weeknd",316830,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY
65,"Used to This (feat. Drake)",Future,307602,https://open.spotify.com/track/78sr3ogs4UzITcCNbXM9cM
66,"Brown Paper Bag",Migos,301987,https://open.spotify.com/track/5wihevBA7MO9PNYyWyTfkh
67,Water,"Ugly God",296783,https://open.spotify.com/track/6HEIBHUirx1J0JkUD24szt
68,Location,Khalid,296428,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
69,Light,"San Holo",293865,https://open.spotify.com/track/7zTx8ePYAmPFQuxP3xlXZn
70,"Sunset Lover","Petit Biscuit",293819,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
71,"Too Many Years","Kodak Black",292640,https://open.spotify.com/track/0BU7nIcCZxYSE0hYcc5oZz
72,"Solo Dance","Martin Jensen",290265,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
73,"White Iverson","Post Malone",289293,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
74,"Now and Later","Sage The Gemini",288457,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
75,Sidewalks,"The Weeknd",284983,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko
76,"Scars To Your Beautiful","Alessia Cara",282633,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
77,History,"Olivia Holt",281292,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
78,"Erase Your Social","Lil Uzi Vert",277504,https://open.spotify.com/track/4uhvMW7ly7tJil31YYscAN
79,"Needed Me",Rihanna,276938,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
80,"Low Life (feat. The Weeknd)",Future,275199,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX
81,"Too Good",Drake,273791,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
82,Controlla,Drake,273215,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa
83,"No Role Modelz","J. Cole",272493,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
84,"Money Longer","Lil Uzi Vert",272470,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ
85,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",268851,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
86,"All We Know","The Chainsmokers",266723,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
87,Neighbors,"J. Cole",266635,https://open.spotify.com/track/0utlOiJy2weVl9WTkcEWHy
88,"Water Under the Bridge",Adele,264991,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
89,"Come and See Me (feat. Drake)",PARTYNEXTDOOR,264129,https://open.spotify.com/track/1wZqJM5FGDEl3FjHDxDyQd
90,"I Got You","Bebe Rexha",263040,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
91,"Don't Let Me Down (feat. Daya)","The Chainsmokers",260366,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
92,"Culture (feat. DJ Khaled)",Migos,259699,https://open.spotify.com/track/4oLuMvGQ4WJfU2s4OM6nfE
93,"Wyclef Jean","Young Thug",258868,https://open.spotify.com/track/55OdqrG8WLmsYyY1jijD9b
94,Panda,Desiigner,254458,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
95,"Not Going Home (feat. Gia Koka)",DVBBS,251177,https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61
96,"Gassed Up","Nebu Kiniza",251070,https://open.spotify.com/track/6JjEVlMkfHWMeYavkEYzNO
97,"Romantic - NOTD Remix",Stanaj,249859,https://open.spotify.com/track/3SGWp9fJCzgK0WcpcKSQdy
98,"Lot to Learn","Luke Christopher",249101,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW
99,"Cake - Challenge Version","Flo Rida",248004,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
100,Don't,"Bryson Tiller",247766,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
101,"That's What I Like","Bruno Mars",247086,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
102,"Out Yo Way",Migos,240761,https://open.spotify.com/track/4Dbn05LNVX5giGbgbz5fdQ
103,"Lighthouse - Andrelli Remix","Hearts & Colors",240414,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo
104,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",239134,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
105,Exchange,"Bryson Tiller",236368,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN
106,"Treat You Better","Shawn Mendes",235815,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
107,"I Would Like","Zara Larsson",235040,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
108,"The Other",Lauv,234129,https://open.spotify.com/track/1lntL1cI2UIWlxjL5QiN8g
109,OOOUUU,"Young M.A",233378,https://open.spotify.com/track/7JYsArznYOjX2jsrT3UEnL
110,"Litty (feat. Tory Lanez)","Meek Mill",233301,https://open.spotify.com/track/5J5PXmMdQ2nh1lZOal8KmK
111,"It's Gotta Be You","Isaiah Firebrace",233001,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
112,"What The Price",Migos,231733,https://open.spotify.com/track/7sO0dVFCfixpLshm4daMH3
113,Ride,"Twenty One Pilots",231403,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
114,"Oceans Away","A R I Z O N A",231064,https://open.spotify.com/track/6A8dnC0xkiuWN4BshmTB2I
115,"Body Like A Back Road","Sam Hunt",229835,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
116,"No Flockin'","Kodak Black",228768,https://open.spotify.com/track/34oWbFBfGEElvgO0a5c9V4
117,"Deja Vu","Post Malone",227335,https://open.spotify.com/track/0H8XeaJunhvpBdBFIYi6Sh
118,"Setting Fires","The Chainsmokers",226578,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s
119,"Trust Nobody (feat. Selena Gomez & Tory Lanez)","Cashmere Cat",225541,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu
120,Reminder,"The Weeknd",225139,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI
121,"Shed a Light","Robin Schulz",224173,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
122,"Look at Me!",XXXTENTACION,223330,https://open.spotify.com/track/2oUuLLKS8WbF7ELJcwbqms
123,"This Town","Niall Horan",223245,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7
124,"Die For You","The Weeknd",219869,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
