,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",1186806,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,"Calling My Phone","Lil Tjay",1115209,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
3,telepatía,"Kali Uchis",970317,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
4,Up,"Cardi B",898849,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
5,"Good Days",SZA,877162,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
6,Streets,"Doja Cat",807575,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
7,"Save Your Tears","The Weeknd",805464,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
8,"Blinding Lights","The Weeknd",643422,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",625394,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
10,"Astronaut In The Ocean","Masked Wolf",575767,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
11,"Mood (feat. iann dior)",24kGoldn,570080,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
12,"WITHOUT YOU","The Kid LAROI",566400,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
13,"Levitating (feat. DaBaby)","Dua Lipa",560871,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
14,"Heat Waves","Glass Animals",556611,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
15,"Best Friend (feat. Doja Cat)",Saweetie,543808,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
16,Whoopty,CJ,542420,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
17,DÁKITI,"Bad Bunny",537568,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
18,"Heartbreak Anniversary",Giveon,529106,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
19,34+35,"Ariana Grande",521608,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
20,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",490260,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
