,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mood (feat. iann dior)",24kGoldn,1001530,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
2,"Blinding Lights","The Weeknd",940379,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,DÁKITI,"Bad Bunny",908500,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",837867,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,positions,"Ariana Grande",829144,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
6,"WAP (feat. Megan Thee Stallion)","Cardi B",796945,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
7,34+35,"Ariana Grande",794472,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
8,"Levitating (feat. DaBaby)","Dua Lipa",788975,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
9,Anyone,"Justin Bieber",747932,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
10,"Good Days",SZA,718642,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
11,Whoopty,CJ,700932,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
12,Body,"Megan Thee Stallion",639813,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
13,"Laugh Now Cry Later (feat. Lil Durk)",Drake,636404,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
14,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",635557,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
15,"WITHOUT YOU","The Kid LAROI",626898,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
16,"Blueberry Faygo","Lil Mosey",605236,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
17,"What You Know Bout Love","Pop Smoke",590032,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
18,HOLIDAY,"Lil Nas X",584545,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
19,"Watermelon Sugar","Harry Styles",583815,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
20,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,582947,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
21,"Roses - Imanbek Remix","SAINt JHN",578366,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
22,Circles,"Post Malone",574488,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
23,"Therefore I Am","Billie Eilish",546797,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
24,willow,"Taylor Swift",515959,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
25,"Wishing Well","Juice WRLD",498704,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
26,"Dreams - 2004 Remaster","Fleetwood Mac",485222,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
27,"The Box","Roddy Ricch",479514,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
28,"Tyler Herro","Jack Harlow",455718,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
29,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",454802,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
30,"Way Out (feat. Big Sean)","Jack Harlow",453976,https://open.spotify.com/track/57VeLYXrvNxe8Vs18K2M9W
31,"Put Your Records On","Ritt Momney",446840,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
32,"Come & Go (with Marshmello)","Juice WRLD",440935,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
33,"Say So","Doja Cat",438274,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
34,"Sweater Weather","The Neighbourhood",436873,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
35,"Sunday Best",Surfaces,428747,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
36,"Dance Monkey","Tones And I",424868,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
37,"Tequila Shots","Kid Cudi",421955,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a
