,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Better Now","Post Malone",3034705,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
2,"Psycho (feat. Ty Dolla $ign)","Post Malone",2445707,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
3,Paranoid,"Post Malone",2216565,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
4,"Nice For What",Drake,2026901,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
5,Stay,"Post Malone",1926630,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
6,"Rich & Sad","Post Malone",1919032,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
7,"Spoil My Night (feat. Swae Lee)","Post Malone",1891055,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
8,"Ball For Me (feat. Nicki Minaj)","Post Malone",1733498,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
9,"Over Now","Post Malone",1696810,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
10,"Zack And Codeine","Post Malone",1662309,https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR
11,"rockstar (feat. 21 Savage)","Post Malone",1616788,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
12,"Takin' Shots","Post Malone",1546206,https://open.spotify.com/track/5ffntNJnJOeFv7b7DCd0Bw
13,"Same Bitches (feat. G-Eazy & YG)","Post Malone",1532649,https://open.spotify.com/track/688QpQAwqsLdBR6lr13wK1
14,"92 Explorer","Post Malone",1473628,https://open.spotify.com/track/1D2L6MefbXon28PzIk9I3r
15,"God's Plan",Drake,1396674,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
16,"Candy Paint","Post Malone",1376892,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
17,Otherside,"Post Malone",1358393,https://open.spotify.com/track/4qWCFTuNnmGNdY4egtb4ZY
18,"Blame It On Me","Post Malone",1284327,https://open.spotify.com/track/1ZemPoaj7LBj1RAQrb89EC
19,KOD,"J. Cole",1257318,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
20,"I Like It","Cardi B",1216468,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
21,"Look Alive (feat. Drake)","BlocBoy JB",1124540,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
22,"Sugar Wraith","Post Malone",1107403,https://open.spotify.com/track/0MrRAUcB8AZiB9ue2VOBYe
23,"no tears left to cry","Ariana Grande",1051062,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
24,SAD!,XXXTENTACION,1018057,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
25,"Plug Walk","Rich The Kid",942419,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
26,"Kevin’s Heart","J. Cole",907771,https://open.spotify.com/track/6tZ3b7ik1QDXFAZlXib0YZ
27,"Call Out My Name","The Weeknd",900744,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
28,"Walk It Talk It",Migos,876257,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
29,OTW,Khalid,862704,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
30,"Jonestown (Interlude)","Post Malone",848915,https://open.spotify.com/track/0R6Jlsq25eZB3Wftpxi3oF
31,"Freaky Friday (feat. Chris Brown)","Lil Dicky",835781,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
