,artist_name,track_name,track_id,popularity,release_date,artist_followers,Position,Track Name,Artist,Streams,URL,Date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
130,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82,2017-04-14,18608580,13,HUMBLE.,Kendrick Lamar,682538,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,10/01/2017,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4
143,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82,2017-04-14,18608580,132,HUMBLE.,Kendrick Lamar,272497,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,10/01/2018,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4
156,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82,2017-04-14,18608580,197,HUMBLE.,Kendrick Lamar,216255,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,10/01/2019,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4
169,Future,Mask Off,0VgkVdmE4gld66l8iyGjgx,81,2017-06-30,10777045,2,Mask Off,Future,1595319,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8,04/01/2017,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,audio_features,0VgkVdmE4gld66l8iyGjgx,spotify:track:0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,204600,4
174,Future,Mask Off,0VgkVdmE4gld66l8iyGjgx,81,2017-06-30,10777045,2,Mask Off,Future,1595319,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8,04/01/2018,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,audio_features,0VgkVdmE4gld66l8iyGjgx,spotify:track:0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,204600,4
179,Future,Mask Off,0VgkVdmE4gld66l8iyGjgx,81,2017-06-30,10777045,70,Mask Off,Future,313377,https://open.spotify.com/track/0VgkVdmE4gld66l8iyGjgx,01/01/2018,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,audio_features,0VgkVdmE4gld66l8iyGjgx,spotify:track:0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,204600,4
184,Future,Mask Off,0VgkVdmE4gld66l8iyGjgx,81,2017-06-30,10777045,13,Mask Off,Future,810875,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8,07/01/2017,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,audio_features,0VgkVdmE4gld66l8iyGjgx,spotify:track:0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,204600,4
189,Future,Mask Off,0VgkVdmE4gld66l8iyGjgx,81,2017-06-30,10777045,56,Mask Off,Future,354622,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8,10/01/2017,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,audio_features,0VgkVdmE4gld66l8iyGjgx,spotify:track:0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,204600,4
194,Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,81,2017-03-18,58378449,3,Passionfruit,Drake,1561782,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd,04/01/2017,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,audio_features,5mCPDVBb16L4XQwDdbRUpz,spotify:track:5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,298941,4
199,Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,81,2017-03-18,58378449,3,Passionfruit,Drake,1561782,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd,04/01/2018,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,audio_features,5mCPDVBb16L4XQwDdbRUpz,spotify:track:5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,298941,4
