,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",395474,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
55,"Blinding Lights","The Weeknd",389613,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
56,"drivers license","Olivia Rodrigo",388081,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
57,A-O-K,"Tai Verdes",386555,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
58,"Feelin' Like Tunechi","Lil Wayne",383943,https://open.spotify.com/track/4HTY26kzdGCKJF1EqcRd2J
59,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",375981,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
60,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",354314,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
61,Yonaguni,"Bad Bunny",353305,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
62,"Take My Breath","The Weeknd",343668,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
63,"my ex's best friend (with blackbear)","Machine Gun Kelly",340597,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
64,"Thot Shit","Megan Thee Stallion",338851,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
65,"You Right","Doja Cat",335059,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
66,"Praise God","Kanye West",334599,https://open.spotify.com/track/0Zm7NKJgoKY6ZWwtoEUILK
67,"Leave The Door Open","Bruno Mars",331257,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
68,"Blessed & Free","Kane Brown",331233,https://open.spotify.com/track/0HCFZGK3c1TQorbyPHcj1l
69,"Tell Em",Cochise,330521,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
70,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",329674,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
71,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,328523,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
72,"favorite crime","Olivia Rodrigo",324531,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
73,"Lonely (with Lil Wayne)",DaBaby,324117,https://open.spotify.com/track/6pmNoWKk0r6zfIjWneJRxR
74,"She Knows (feat. Amber Coffman & Cults)","J. Cole",318492,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
75,"LOT OF ME","Lil Tecca",318172,https://open.spotify.com/track/2ZXxRC6V6AXzMdbLQZMHSB
76,Circles,"Post Malone",317703,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
77,"Blue Notes 2 (feat. Lil Uzi Vert)","Meek Mill",317074,https://open.spotify.com/track/2kdhiombBoiHjvSKG3EI0m
78,telepatía,"Kali Uchis",315781,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
79,"Rich MF (feat. Polo G & Lil Durk)","Trippie Redd",315016,https://open.spotify.com/track/6cUHiQEECDl5m3WFGQ1GCR
80,"Mr. Brightside","The Killers",314753,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
81,"SCOOP (feat. Doja Cat)","Lil Nas X",310849,https://open.spotify.com/track/6bpq1jGkVz66Q3LYeoXdjZ
82,Sky,"Playboi Carti",310508,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
83,"Martin & Gina","Polo G",310454,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
84,"Rumors (feat. Cardi B)",Lizzo,309440,https://open.spotify.com/track/6KgtcmCF9Ky68XC7ezxl3s
85,"The Spins","Mac Miller",307876,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
86,YKWIM?,"Yot Club",307780,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
87,TSU,Drake,307146,https://open.spotify.com/track/4s7QLoImIwmPi9L6dq1nVW
88,"Good Days",SZA,306037,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
89,"Heartbreak Anniversary",Giveon,305120,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
90,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,304293,https://open.spotify.com/track/5JKnYZOhSP7rOK0jPYcCjV
91,Pain,PinkPantheress,303025,https://open.spotify.com/track/7CIERzyqIwLVKGp00YbHRO
92,"Mood (feat. iann dior)",24kGoldn,302917,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
93,"20 Min","Lil Uzi Vert",302852,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
94,Volví,Aventura,301987,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
95,"All Girls Are The Same","Juice WRLD",297348,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
96,"Motley Crew","Post Malone",295747,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
97,brutal,"Olivia Rodrigo",295715,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
98,"jealousy, jealousy","Olivia Rodrigo",295551,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
99,"Watermelon Sugar","Harry Styles",295483,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
100,"Dreams - 2004 Remaster","Fleetwood Mac",292523,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
101,DÁKITI,"Bad Bunny",292515,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
102,Loverboy,A-Wall,292140,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP
