,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",1812103,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,ROXANNE,"Arizona Zervas",1400495,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Circles,"Post Malone",1186861,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,BOP,DaBaby,1130123,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
5,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",968612,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
6,"Dance Monkey","Tones And I",916609,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,"Futsal Shuffle 2020","Lil Uzi Vert",893092,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
8,Falling,"Trevor Daniel",872244,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
9,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",786856,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
10,"Ballin' (with Roddy Ricch)",Mustard,772662,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
11,"bad guy","Billie Eilish",717321,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
12,"everything i wanted","Billie Eilish",691325,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
13,Suicidal,"YNW Melly",682998,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
14,"OUT WEST (feat. Young Thug)",JACKBOYS,680820,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
15,"Adore You","Harry Styles",676253,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
16,"Blinding Lights","The Weeknd",670492,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
17,"HIGHEST IN THE ROOM","Travis Scott",654571,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
18,"hot girl bummer",blackbear,634027,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
19,"Don't Start Now","Dua Lipa",622304,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
20,"My Oh My (feat. DaBaby)","Camila Cabello",621539,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
21,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)","French Montana",620284,https://open.spotify.com/track/7ntUbTIwmwOD6ygCMRZT6e
22,Heartless,"The Weeknd",613239,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
23,Suge,DaBaby,607559,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
24,VIBEZ,DaBaby,605164,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
25,"Truth Hurts",Lizzo,599849,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
26,Woah,"Lil Baby",596844,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
27,"Watermelon Sugar","Harry Styles",583625,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
28,"No Idea","Don Toliver",580241,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
29,"Lucid Dreams","Juice WRLD",579125,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
30,Memories,"Maroon 5",578449,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
31,"Someone You Loved","Lewis Capaldi",576490,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
32,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",564699,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
33,Ransom,"Lil Tecca",521428,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
34,Robbery,"Juice WRLD",521072,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
35,"Hot (Remix) [feat. Gunna and Travis Scott]","Travis Scott",513884,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
36,"Money In The Grave (Drake ft. Rick Ross)",Drake,486281,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
37,"223's (feat. 9lokknine)","YNW Melly",485460,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
