,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,1621779,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"Lucid Dreams","Juice WRLD",1555589,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
3,"Yes Indeed","Lil Baby",1546796,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
4,"I'm Upset",Drake,1407137,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
5,"Better Now","Post Malone",1354150,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
6,"This Is America","Childish Gambino",1194242,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
7,"Psycho (feat. Ty Dolla $ign)","Post Malone",1188675,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
8,"I Like It","Cardi B",1188554,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,"God's Plan",Drake,1181941,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
10,"Look Alive (feat. Drake)","BlocBoy JB",1023068,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
11,"rockstar (feat. 21 Savage)","Post Malone",836398,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
12,"All Girls Are The Same","Juice WRLD",808642,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
13,"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5",787983,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
14,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",762361,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
15,"Plug Walk","Rich The Kid",752669,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
16,"Ric Flair Drip (& Metro Boomin)",Offset,735466,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
17,"Back To You","Selena Gomez",733077,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
18,"no tears left to cry","Ariana Grande",727852,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
19,"Ball For Me (feat. Nicki Minaj)","Post Malone",723247,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
20,"Walk It Talk It",Migos,707247,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
21,"Taste (feat. Offset)",Tyga,698576,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
22,SAD!,XXXTENTACION,696535,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
23,Paranoid,"Post Malone",696143,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
24,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",672509,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
25,"Playinwitme (feat. Kehlani)",KYLE,666556,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
