,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
52,"Build a Bitch","Bella Poarch",409478,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
53,telepatía,"Kali Uchis",405834,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
54,CORSO,"Tyler, The Creator",404845,https://open.spotify.com/track/46oHvXwpEZOFX518we1nJD
55,"Lil Bit",Nelly,400181,https://open.spotify.com/track/0NmuYnjETG3u3qx0OmEJev
56,"Having Our Way (feat. Drake)",Migos,396249,https://open.spotify.com/track/2NM0qHzx4Ohy8iXHEEgwlO
57,"my ex's best friend (with blackbear)","Machine Gun Kelly",395675,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
58,"m y . l i f e (with 21 Savage & Morray)","J. Cole",395541,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
59,Freaks,"Surf Curse",384709,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
60,"Sweater Weather","The Neighbourhood",383764,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
61,DÁKITI,"Bad Bunny",382537,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
62,"Get Into It (Yuh)","Doja Cat",380655,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
63,"AM Remix","Nio Garcia",380353,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
64,"Welcome to the Internet","Bo Burnham",376768,https://open.spotify.com/track/25AvaE23MXl06YRtQcQoJS
65,"Good Days",SZA,376626,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
66,"Mood (feat. iann dior)",24kGoldn,374261,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
67,"p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole",371428,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
68,"Martin & Gina","Polo G",367207,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
69,"Forever After All","Luke Combs",365133,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
70,"Watermelon Sugar","Harry Styles",361688,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
71,Streets,"Doja Cat",359069,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
72,"hope ur ok","Olivia Rodrigo",358746,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3
73,"Solid (feat. Drake)","Young Stoner Life",356844,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
74,"NEVER LEFT","Lil Tecca",351858,https://open.spotify.com/track/21UkXrc9kD48rNpTMI2ecz
75,Circles,"Post Malone",350366,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
76,"Calling My Phone","Lil Tjay",345823,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
77,"GANG GANG (with Lil Wayne)","Polo G",344257,https://open.spotify.com/track/0ezwvY7TkCwDEkKR49084k
78,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","Internet Money",343142,https://open.spotify.com/track/2IePEfMAtqWS6rLXXFZIgI
79,"Ramen & OJ","Joyner Lucas",341734,https://open.spotify.com/track/4TIqzdAssasqx3DAe6cG9J
80,"RUNITUP (feat. Teezo Touchdown)","Tyler, The Creator",340866,https://open.spotify.com/track/13HsOwrwTA5HgLuoaDHncP
81,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",339061,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
82,"I WANNA BE YOUR SLAVE",Måneskin,334411,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
83,MASSA,"Tyler, The Creator",333193,https://open.spotify.com/track/2goHCrsDJaflEwQ930ef0o
84,Wockesha,"Moneybagg Yo",332909,https://open.spotify.com/track/0nqhKXDjsyBMvbeWmgijD0
85,"WITHOUT YOU","The Kid LAROI",330259,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
86,"4 Da Gang (with Roddy Ricch)","42 Dugg",324833,https://open.spotify.com/track/1mAey8kEPmDM2icL56kS9d
87,"Lost Cause","Billie Eilish",324102,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
88,"No Role Modelz","J. Cole",323339,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
89,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,323295,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
90,Woman,"Doja Cat",322515,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
91,"Solar Power",Lorde,319805,https://open.spotify.com/track/3KdoeNlEN0BoAKWzaRLNZa
92,"SIR BAUDELAIRE (feat. DJ Drama)","Tyler, The Creator",315151,https://open.spotify.com/track/4ydmav4vl7hebadtfZtMrg
93,"No Return (with The Kid LAROI & Lil Durk)","Polo G",314756,https://open.spotify.com/track/23OYT3SFtoJqhiAUqktbc1
94,"All Girls Are The Same","Juice WRLD",314515,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
95,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",311749,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
96,"Dreams - 2004 Remaster","Fleetwood Mac",308700,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
