,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne",2415459,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8
2,"Don't Cry (feat. XXXTENTACION)","Lil Wayne",1859314,https://open.spotify.com/track/5BQrp63SHCVf4bzCzJePne
3,Uproar,"Lil Wayne",1546988,https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk
4,"Let It Fly (feat. Travis Scott)","Lil Wayne",1543777,https://open.spotify.com/track/0CBQ0m3mufWH75LTYB3s6h
5,"SICKO MODE","Travis Scott",1353722,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
6,"I Love It (& Lil Pump)","Kanye West",1348658,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
7,Dedicate,"Lil Wayne",1332198,https://open.spotify.com/track/0Y7di9ZCmB6Elad5WISaPc
8,"Falling Down - Bonus Track","Lil Peep",1285681,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
9,"Can't Be Broken","Lil Wayne",1258687,https://open.spotify.com/track/5cGpjfgAvidLy6znwkCxkP
10,"What About Me (feat. Sosamann)","Lil Wayne",1223207,https://open.spotify.com/track/3JX0dOCIAiaR8MP3ryXWuM
11,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",1138427,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
12,"Lucid Dreams","Juice WRLD",1108381,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
13,Happier,Marshmello,1090004,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
14,"Mo Bamba","Sheck Wes",1084551,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
15,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,959775,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
16,"Drip Too Hard","Lil Baby",931726,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
17,"Dark Side Of The Moon (feat. Nicki Minaj)","Lil Wayne",927528,https://open.spotify.com/track/5IvdLxVB8gwwcgnEkXSSW2
18,"Famous (feat. Reginae Carter)","Lil Wayne",905706,https://open.spotify.com/track/05r1GGg1Rhs0RcUg27C82a
19,SAD!,XXXTENTACION,905517,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
