,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",1931803,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,"Good Days",SZA,1112672,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
3,Streets,"Doja Cat",950843,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
4,"Save Your Tears","The Weeknd",684424,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
5,Whoopty,CJ,655574,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
6,"Mood (feat. iann dior)",24kGoldn,620149,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
7,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",602689,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
8,"WITHOUT YOU","The Kid LAROI",600816,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
9,"Blinding Lights","The Weeknd",599313,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,DÁKITI,"Bad Bunny",593880,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
11,34+35,"Ariana Grande",588358,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
12,"Levitating (feat. DaBaby)","Dua Lipa",557074,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,positions,"Ariana Grande",548191,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
14,"Wasted On You","Morgan Wallen",540105,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
15,"Somebody’s Problem","Morgan Wallen",519301,https://open.spotify.com/track/42lqBjPYlmL1EXpMDXvhSN
16,"Best Friend (feat. Doja Cat)",Saweetie,513413,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
17,"Bad Boy (with Young Thug)","Juice WRLD",511602,https://open.spotify.com/track/43CIWpJaJHRcI4mUSjqgc2
18,"Sweater Weather","The Neighbourhood",501867,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
19,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",500849,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
20,"Sand In My Boots","Morgan Wallen",489336,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
21,"What You Know Bout Love","Pop Smoke",483865,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
