,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",2360917,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1709093,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,Up,"Cardi B",1013494,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
4,"Astronaut In The Ocean","Masked Wolf",916478,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"drivers license","Olivia Rodrigo",860663,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
6,"Calling My Phone","Lil Tjay",859747,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
7,telepatía,"Kali Uchis",852883,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
8,"Leave The Door Open","Bruno Mars",839423,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
9,"Levitating (feat. DaBaby)","Dua Lipa",822957,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
10,"Heartbreak Anniversary",Giveon,804841,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
11,"Save Your Tears","The Weeknd",733663,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
12,Streets,"Doja Cat",732393,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
13,"Good Days",SZA,723934,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
14,"What’s Next",Drake,713244,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
15,"deja vu","Olivia Rodrigo",697721,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
16,"Wants and Needs (feat. Lil Baby)",Drake,691543,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
17,"Hold On","Justin Bieber",665559,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
18,"Heat Waves","Glass Animals",635454,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
19,"As I Am (feat. Khalid)","Justin Bieber",633224,https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J
20,"Best Friend (feat. Doja Cat)",Saweetie,625206,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
21,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",597315,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
22,"Blinding Lights","The Weeknd",587134,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
23,"Richer (feat. Polo G)","Rod Wave",536693,https://open.spotify.com/track/7HsjuVBM93Z2RoxjpWLgTT
24,"Mood (feat. iann dior)",24kGoldn,529697,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
25,DÁKITI,"Bad Bunny",524585,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
26,"WITHOUT YOU","The Kid LAROI",522745,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
27,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",520258,https://open.spotify.com/track/6cQ08IpBxxfGcSKxqE3NmB
28,Anyone,"Justin Bieber",496338,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
29,"Street Runner","Rod Wave",482995,https://open.spotify.com/track/3JYxIozjRsvEmHrIvfFhud
30,"Holy (feat. Chance The Rapper)","Justin Bieber",472571,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
31,Tombstone,"Rod Wave",459134,https://open.spotify.com/track/5pRTz4O2qOkr5nawemy6Wb
32,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",449202,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
33,"What You Know Bout Love","Pop Smoke",447129,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
34,Whoopty,CJ,445773,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
35,"Sweater Weather","The Neighbourhood",438232,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
36,"On Me","Lil Baby",431762,https://open.spotify.com/track/4Iedi94TIaB2GGb1nMB68v
37,"Beat Box 3 (feat. DaBaby)",SpotemGottem,431500,https://open.spotify.com/track/6toQdWWc4noiOk3Eo5mVDS
38,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",429912,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
