,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",1430887,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
2,"bad guy","Billie Eilish",1357230,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
3,"The London (feat. J. Cole & Travis Scott)","Young Thug",1297549,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
4,EARFQUAKE,"Tyler, The Creator",1206971,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
5,Suge,DaBaby,1140728,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
6,"Truth Hurts",Lizzo,1133123,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
7,"I Don't Care (with Justin Bieber)","Ed Sheeran",1121743,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
8,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1059814,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
9,"Pop Out (feat. Lil Tjay)","Polo G",970434,https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi
10,Press,"Cardi B",882904,https://open.spotify.com/track/6dPyzkyZwoj9LqjQXOFdVv
11,"Never Really Over","Katy Perry",865984,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
12,"Old Town Road","Lil Nas X",858681,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
13,"If I Can't Have You","Shawn Mendes",857281,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
14,"Mother's Daughter","Miley Cyrus",811114,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
15,"Talk (feat. Disclosure)",Khalid,802479,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
16,"MIDDLE CHILD","J. Cole",785408,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
17,"Go Loko (feat. Tyga, Jon Z)",YG,732625,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
18,Wow.,"Post Malone",723057,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
19,"Sanguine Paradise","Lil Uzi Vert",673795,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
20,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",658738,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
21,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",649730,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
22,Sucker,"Jonas Brothers",642816,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
23,"7 rings","Ariana Grande",614764,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
24,Isis,"Joyner Lucas",608714,https://open.spotify.com/track/36TO60sxDduIsO3xH8IcUh
25,"Pure Water (with Migos)",Mustard,601544,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
26,"Going Bad (feat. Drake)","Meek Mill",595455,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
27,"Envy Me",Calboy,587894,https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx
28,"Murder On My Mind","YNW Melly",579415,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
29,Paradise,Bazzi,567763,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
30,Easier,"5 Seconds of Summer",561731,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
31,Robbery,"Juice WRLD",557786,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
32,"when the party's over","Billie Eilish",545403,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
33,"Under Enemy Arms","Trippie Redd",544012,https://open.spotify.com/track/1NF9EkR5OpMaoVWbsllcm9
34,"Find U Again (feat. Camila Cabello)","Mark Ronson",541013,https://open.spotify.com/track/1HpzOCZbNWzxvvXfSGtSrX
35,"Homicide (feat. Eminem)",Logic,537809,https://open.spotify.com/track/2MuMD298IpYqKF367wegUd
36,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",522279,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
37,"bury a friend","Billie Eilish",516597,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
38,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",513480,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
39,"Someone You Loved","Lewis Capaldi",500815,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
40,"SICKO MODE","Travis Scott",494999,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
41,Nightmare,Halsey,491621,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc
42,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",487180,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
43,Better,Khalid,482727,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
44,"Shotta Flow","NLE Choppa",471597,https://open.spotify.com/track/4dAMdQ6g4kGmnc1MDHsg77
45,"Eastside (with Halsey & Khalid)","benny blanco",471469,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
46,"Lucid Dreams","Juice WRLD",471130,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
47,Happier,Marshmello,466517,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
48,"Mixed Personalities (feat. Kanye West)","YNW Melly",459647,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
49,"lovely (with Khalid)","Billie Eilish",452775,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
50,"Call You Mine (feat. Bebe Rexha)","The Chainsmokers",451450,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
51,"Look Back at It","A Boogie Wit da Hoodie",442281,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
52,"Clout (feat. Cardi B)",Offset,441507,https://open.spotify.com/track/59ywHNwwchG4nZJMLyxSzd
53,"Love Thru The Computer (feat. Justin Bieber)","Gucci Mane",438089,https://open.spotify.com/track/1VsqQEYObJsOPaeZwEXRPg
54,"wish you were gay","Billie Eilish",434330,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
55,"Without Me",Halsey,430306,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
56,"a lot","21 Savage",425418,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
57,"break up with your girlfriend, i'm bored","Ariana Grande",423848,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
58,"Dancing With A Stranger (with Normani)","Sam Smith",420154,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
59,"The Search",NF,411152,https://open.spotify.com/track/2OKo7g3KfmCt3kyLvUAL0g
60,Callaita,"Bad Bunny",410140,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
61,"Better Now","Post Malone",404370,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
62,"D.R.E.A.M. (feat. Ghostface Killah)","Miley Cyrus",402135,https://open.spotify.com/track/42zePe03Iq8tvFcJAIKkp8
63,"thank u, next","Ariana Grande",401787,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
64,"Look What God Gave Her","Thomas Rhett",401440,https://open.spotify.com/track/2KqJC0koTBUyDlsMt5ok1V
65,"Soltera - Remix",Lunay,400576,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
66,"Faucet Failure","Ski Mask The Slump God",398547,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
67,"Goin Baby",DaBaby,388296,https://open.spotify.com/track/3WyRgi8CzQnhzO0xw79tTS
68,SAD!,XXXTENTACION,383672,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
69,"Whiskey Glasses","Morgan Wallen",383055,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
70,"Beautiful Crazy","Luke Combs",377149,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
71,"Broke Leg (with Quavo & Tyga)","Tory Lanez",374573,https://open.spotify.com/track/5CKtlUULFD5aPVX4PL02H6
72,"i'm so tired...",Lauv,370898,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
73,"I THINK","Tyler, The Creator",366900,https://open.spotify.com/track/4f8Mh5wuWHOsfXtzjrJB3t
74,"rockstar (feat. 21 Savage)","Post Malone",366436,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
75,"Wish Wish (feat. Cardi B & 21 Savage)","DJ Khaled",363190,https://open.spotify.com/track/1Hd2XLitkt1PYCWSbfF5qV
76,SOS,Avicii,363160,https://open.spotify.com/track/0n2nEtLP3OzDdi12ziIekx
77,"Act Up","City Girls",360706,https://open.spotify.com/track/3A2yGHWIzmGEIolwonU69h
78,"Here With Me",Marshmello,360476,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
79,Ransom,"Lil Tecca",360315,https://open.spotify.com/track/1xbtojAZsQjOgiGdGX6ChU
80,Unholy,"Miley Cyrus",358416,https://open.spotify.com/track/6vjymPak0JRQC2P84XlI9t
81,I,"Lil Skies",356154,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
82,"Baby Sitter (feat. Offset)",DaBaby,353511,https://open.spotify.com/track/7f1zjZG77S891Uv4O68yfk
