,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Heartless,"The Weeknd",1450269,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
2,ROXANNE,"Arizona Zervas",1374394,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,"Blinding Lights","The Weeknd",1202999,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,Circles,"Post Malone",1055567,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,"everything i wanted","Billie Eilish",907479,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
6,"All I Want for Christmas Is You","Mariah Carey",894734,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
7,"HIGHEST IN THE ROOM","Travis Scott",878736,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
8,Falling,"Trevor Daniel",826482,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
9,BOP,DaBaby,780237,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
10,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",764272,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
11,"Rockin' Around The Christmas Tree","Brenda Lee",749520,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
12,"Dance Monkey","Tones And I",708051,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
13,"Jingle Bell Rock","Bobby Helms",690312,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
14,"hot girl bummer",blackbear,674989,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
15,"Santa Tell Me","Ariana Grande",658724,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
16,"It's the Most Wonderful Time of the Year","Andy Williams",652249,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
17,"Lose You To Love Me","Selena Gomez",649605,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
