,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Ransom,"Lil Tecca",1594092,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
2,Señorita,"Shawn Mendes",1367868,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
3,"Truth Hurts",Lizzo,1284879,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
4,"Goodbyes (Feat. Young Thug)","Post Malone",1247357,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
5,"Money In The Grave (Drake ft. Rick Ross)",Drake,1204223,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
6,Panini,"Lil Nas X",1072412,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
7,"No Guidance (feat. Drake)","Chris Brown",1028044,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
8,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",898324,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
9,"Beautiful People (feat. Khalid)","Ed Sheeran",880433,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
10,Suge,DaBaby,840745,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
11,Lalala,Y2K,802118,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
12,"The London (feat. J. Cole & Travis Scott)","Young Thug",749761,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
13,"How Do You Sleep?","Sam Smith",745120,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
14,"bad guy","Billie Eilish",730845,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
15,"Hot Shower","Chance the Rapper",698780,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf
16,"Old Town Road - Remix","Lil Nas X",695153,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
17,"Pop Out (feat. Lil Tjay)","Polo G",664540,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
18,"Takeaway (feat. Lennon Stella)","The Chainsmokers",628886,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
19,"I Don't Care (with Justin Bieber)","Ed Sheeran",619273,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
20,"Talk (feat. Disclosure)",Khalid,618596,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
21,"One Thing Right",Marshmello,616177,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
22,"Someone You Loved","Lewis Capaldi",608004,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,"Antisocial (with Travis Scott)","Ed Sheeran",604805,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
24,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",596375,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
25,"bad guy (with Justin Bieber)","Billie Eilish",581311,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
26,"Good As Hell",Lizzo,571415,https://open.spotify.com/track/6uAm7pG66O1XesXS9bpHSF
27,Rodeo,"Lil Nas X",552445,https://open.spotify.com/track/4ak7xjvBeBOcJGWFDX9w5n
28,Baby,"Quality Control",551454,https://open.spotify.com/track/2nKYHpmwjLaEOXS3o7QMiz
29,"If I Can't Have You","Shawn Mendes",532557,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
30,Wow.,"Post Malone",518474,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
31,"MIDDLE CHILD","J. Cole",516327,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
32,"It's You","Ali Gatie",515495,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
33,EARFQUAKE,"Tyler, The Creator",507928,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
34,"The Archer","Taylor Swift",505340,https://open.spotify.com/track/3Y7MHz19qCg1Pkxridtu1k
35,"Gold Roses (feat. Drake)","Rick Ross",488056,https://open.spotify.com/track/4aPB8rSxGFISs0o6V2LrTy
36,"The Git Up","Blanco Brown",480599,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
37,"Go Loko (feat. Tyga, Jon Z)",YG,480587,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
38,"You Need To Calm Down","Taylor Swift",478497,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
39,"Sanguine Paradise","Lil Uzi Vert",475747,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
40,China,"Anuel AA",466708,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
41,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,452458,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
42,"Going Bad (feat. Drake)","Meek Mill",448844,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
43,Callaita,"Bad Bunny",448537,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
44,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",445538,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
45,"Time - Edit",NF,443483,https://open.spotify.com/track/1gZFRYcPz3wKevEaNYRwfW
46,"7 rings","Ariana Grande",433441,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
47,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",429808,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
48,"Call You Mine (feat. Bebe Rexha)","The Chainsmokers",412165,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
49,I.F.L.Y.,Bazzi,405767,https://open.spotify.com/track/4R9ATNRRl1uth17i5qDCc0
50,"Hate Me (with Juice WRLD)","Ellie Goulding",405208,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
51,"Pure Water (with Migos)",Mustard,402465,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
