,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",1546033,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"iSpy (feat. Lil Yachty)",KYLE,1213833,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
3,"Something Just Like This","The Chainsmokers",1155318,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
4,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,1112680,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
5,"It Ain't Me (with Selena Gomez)",Kygo,1044738,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,"Bounce Back","Big Sean",990216,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
7,"That's What I Like","Bruno Mars",966127,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
8,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,953523,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
9,"Tunnel Vision","Kodak Black",948800,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
10,Congratulations,"Post Malone",925061,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
11,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",906580,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
12,Paris,"The Chainsmokers",887796,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
13,Issues,"Julia Michaels",874303,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
14,"Stay (with Alessia Cara)",Zedd,836031,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
15,"Mask Off",Future,833630,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
16,"Fake Love",Drake,769165,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
17,T-Shirt,Migos,759137,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
18,"I Feel It Coming","The Weeknd",664565,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
19,"Body Like A Back Road","Sam Hunt",654384,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
20,Starboy,"The Weeknd",636021,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
21,"Chained To The Rhythm","Katy Perry",620179,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
22,"Say You Won't Let Go","James Arthur",616438,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
23,Swang,"Rae Sremmurd",607988,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
24,Cold,"Maroon 5",605372,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
25,"Comin Out Strong (feat. The Weeknd)",Future,581718,https://open.spotify.com/track/3mRcWCyteY2133a7xVMrYw
26,Closer,"The Chainsmokers",578019,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
27,Believer,"Imagine Dragons",575292,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
28,"Scared to Be Lonely","Martin Garrix",572926,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
29,"Bad Things (with Camila Cabello)","Machine Gun Kelly",563296,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
30,"Selfish (feat. Rihanna)",Future,543912,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
31,"How Far I'll Go - From ""Moana""","Alessia Cara",514802,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
32,Moves,"Big Sean",511636,https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS
33,Caroline,Aminé,510638,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
34,"All Time Low","Jon Bellion",507266,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
