,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,3688855,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Stir Fry",Migos,1401977,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
3,rockstar,"Post Malone",1161579,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
4,"Finesse - Remix; feat. Cardi B","Bruno Mars",1127394,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
5,Narcos,Migos,990513,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
6,"I Fall Apart","Post Malone",976870,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
7,"The Middle",Zedd,966028,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
8,Mine,Bazzi,939253,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
9,"Ric Flair Drip (& Metro Boomin)",Offset,927541,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
10,"All The Stars (with SZA)","Kendrick Lamar",893271,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
11,"Bartier Cardi (feat. 21 Savage)","Cardi B",856384,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
12,"No Limit",G-Eazy,845682,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
13,MotorSport,Migos,837886,https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt
14,"Havana (feat. Young Thug)","Camila Cabello",815764,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
15,"Never Be the Same","Camila Cabello",799225,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
16,"LOVE. FEAT. ZACARI.","Kendrick Lamar",793124,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
17,"Walk It Talk It",Migos,758643,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
18,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",748820,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
19,"Let You Down",NF,723879,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
20,"Him & I (with Halsey)",G-Eazy,701618,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
21,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",671713,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
22,"Sky Walker (feat. Travis Scott)",Miguel,668153,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
23,"XO Tour Llif3","Lil Uzi Vert",665762,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
24,"Codeine Dreaming (feat. Lil Wayne)","Kodak Black",653282,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J
25,Betrayed,"Lil Xan",649416,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
26,"Candy Paint","Post Malone",647305,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
27,HUMBLE.,"Kendrick Lamar",635945,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
28,"Plain Jane","A$AP Ferg",630812,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
29,"BBO (Bad Bitches Only)",Migos,624025,https://open.spotify.com/track/4BHzHISX21PYwGXiBEUQ70
30,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",616551,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
