,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Pain 1993 (with Playboi Carti)",Drake,2981299,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo
2,"Toosie Slide",Drake,2375313,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
3,"THE SCOTTS","THE SCOTTS",2135023,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
4,"Chicago Freestyle (feat. Giveon)",Drake,1961616,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
5,D4L,Future,1792991,https://open.spotify.com/track/5fHrHoJKfCgBd35zwIBmUK
6,"Deep Pockets",Drake,1772865,https://open.spotify.com/track/3IvMYBE7A3c7to1aEcfFJk
7,"Savage Remix (feat. Beyoncé)",Beyoncé,1735138,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
8,"Not You Too (feat. Chris Brown)",Drake,1660356,https://open.spotify.com/track/3Q4gttWQ6hxqWOa3tHoTNi
9,"When To Say When",Drake,1640116,https://open.spotify.com/track/5TCBWmEBrin7etRa4Lswr1
10,"Desires (with Future)",Drake,1623719,https://open.spotify.com/track/7eYAHC0RbBF9eaqWzT34Aq
11,"Time Flies",Drake,1519691,https://open.spotify.com/track/5H4mXWKcicuLKDn4Jy0sK7
12,"Demons (feat. Fivio Foreign & Sosa Geek)",Drake,1512380,https://open.spotify.com/track/05aZ9sAU1YXndHv0FMi9iW
13,Landed,Drake,1453285,https://open.spotify.com/track/3KixNgUEaDtrKJVzdqjU5q
14,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1389296,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
15,Losses,Drake,1364130,https://open.spotify.com/track/6fLVTVaHWaEfVKfEgbkf4D
16,"From Florida With Love",Drake,1309316,https://open.spotify.com/track/0YkUwXxnTkeJBvt5upeEtP
17,"Blinding Lights","The Weeknd",1267909,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
18,"Blueberry Faygo","Lil Mosey",1262622,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
19,Righteous,"Juice WRLD",1235590,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
20,War,Drake,1187440,https://open.spotify.com/track/1I55Ea0zVoSKs6MqW7DQ3i
21,"The Box","Roddy Ricch",1176528,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
22,"Be Kind (with Halsey)",Marshmello,1164780,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
23,"Roses - Imanbek Remix","SAINt JHN",972040,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
24,"Say So","Doja Cat",914038,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
25,"WHATS POPPIN","Jack Harlow",887989,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
26,"Say So (feat. Nicki Minaj)","Doja Cat",837828,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
27,"Life Is Good (feat. Drake)",Future,738375,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
28,goosebumps,"Travis Scott",726842,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
29,"Don't Start Now","Dua Lipa",725038,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
30,"death bed (coffee for your head)",Powfu,710879,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
31,Circles,"Post Malone",699884,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
32,"Intentions (feat. Quavo)","Justin Bieber",687606,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
33,"Walk Em Down (feat. Roddy Ricch)","Roddy Ricch",679801,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
34,"Sunday Best",Surfaces,675998,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
35,"SICKO MODE","Travis Scott",665578,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
36,"HIGHEST IN THE ROOM","Travis Scott",663061,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
37,ROXANNE,"Arizona Zervas",614013,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
38,Supalonely,BENEE,606886,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
39,Falling,"Trevor Daniel",601263,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
40,"Adore You","Harry Styles",591769,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
41,"After Party","Don Toliver",568952,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
42,"High Fashion (feat. Mustard)","Roddy Ricch",558796,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
43,"We Paid (feat. 42 Dugg)","Lil Baby",557908,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
44,Savage,"Megan Thee Stallion",554349,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
45,"Ballin' (with Roddy Ricch)",Mustard,527292,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
46,"Turks (feat. Travis Scott)",NAV,521188,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
47,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",521030,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
48,"Six Feet Apart","Luke Combs",519272,https://open.spotify.com/track/5v6gozUHFv9OoNdFYz6p8V
49,"Break My Heart","Dua Lipa",511403,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
50,P2,"Lil Uzi Vert",509417,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
51,Myron,"Lil Uzi Vert",504199,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
52,"Boss Bitch","Doja Cat",503814,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
53,"hot girl bummer",blackbear,479497,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
54,"Lucid Dreams","Juice WRLD",472784,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
55,"Someone You Loved","Lewis Capaldi",472481,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
56,"Dance Monkey","Tones And I",470531,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
57,"In Your Eyes","The Weeknd",464244,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
58,"Godzilla (feat. Juice WRLD)",Eminem,464124,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
59,PTSD,"G Herbo",461477,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
60,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",457441,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
61,"If the World Was Ending (feat. Julia Michaels)","JP Saxe",444524,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
62,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",438856,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
63,"Social Distancing","Lil Baby",436621,https://open.spotify.com/track/1RrQK0BIyxZaOooNDVSEaZ
64,BOP,DaBaby,431145,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
65,"FIND MY WAY",DaBaby,429071,https://open.spotify.com/track/1gVCEnryJhkdQcuC0Kbvor
66,"Play Date","Melanie Martinez",424886,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
67,"everything i wanted","Billie Eilish",409256,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
68,Robbery,"Juice WRLD",407243,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
69,Coffee,"Quinn XCII",406721,https://open.spotify.com/track/1VbClJ27jcsMNmOxHnXlKV
70,"Broke In A Minute","Tory Lanez",404134,https://open.spotify.com/track/4xqIYGwwZTEem9U8A42SPF
71,"Yo Perreo Sola","Bad Bunny",395828,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
72,"That Way - Bonus Track","Lil Uzi Vert",378086,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
73,"bloody valentine","Machine Gun Kelly",377445,https://open.spotify.com/track/1bWEngw5tAF7vWByrf5Oy5
74,"Party Girl",StaySolidRocky,375621,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
75,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",371480,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
76,"Before You Go","Lewis Capaldi",368195,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
77,Selfish,"Madison Beer",366667,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
78,"Money In The Grave (Drake ft. Rick Ross)",Drake,364744,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
79,"ily (i love you baby) (feat. Emilee)","Surf Mesa",362605,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
80,"I’m Ready (with Demi Lovato)","Sam Smith",360126,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
81,Woah,"Lil Baby",357817,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
82,"@ MEH","Playboi Carti",357616,https://open.spotify.com/track/5UusfWUMMLEXLMc1ViNZoe
83,"All Girls Are The Same","Juice WRLD",356145,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
84,"Eleven (feat. Summer Walker)",Khalid,353930,https://open.spotify.com/track/18O00Y7yrkJ0pRXm1n21Og
85,"OUT WEST (feat. Young Thug)",JACKBOYS,353773,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
86,"Heart On Ice","Rod Wave",352678,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD
87,"10,000 Hours (with Justin Bieber)","Dan + Shay",347282,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
88,"bad guy","Billie Eilish",343049,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
89,F&MU,Kehlani,341380,https://open.spotify.com/track/0eUK9CbVwOk5zmMzxiKW8g
90,"CITY OF ANGELS",24kGoldn,340564,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
91,"Heatin Up (feat. Gunna)","Lil Baby",340144,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
92,"Level of Concern","Twenty One Pilots",339691,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
93,Safaera,"Bad Bunny",335187,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
94,"All In","Lil Baby",332535,https://open.spotify.com/track/0zlru783fmr588D5RY9ERU
95,"Whiskey Glasses","Morgan Wallen",331657,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
96,"lovely (with Khalid)","Billie Eilish",331373,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
97,Heartless,"The Weeknd",330072,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
98,"My Oh My (feat. DaBaby)","Camila Cabello",328467,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
99,"Chasin' You","Morgan Wallen",327164,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
100,"Go Stupid (feat. NLE Choppa & Mike WiLL Made-It)","Polo G",326283,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
101,"You should be sad",Halsey,324359,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
102,Sasuke,"Lil Uzi Vert",320029,https://open.spotify.com/track/0ROE31C8Wu4neZoR9stM9e
103,STARGAZING,"Travis Scott",319871,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
104,Suicidal,"YNW Melly",319313,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
105,"Like That (feat. Gucci Mane)","Doja Cat",318375,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
106,"Beautiful Crazy","Luke Combs",318146,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
107,Ransom,"Lil Tecca",314568,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
108,"Jocelyn Flores",XXXTENTACION,311000,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
109,"I Hope","Gabby Barrett",309847,https://open.spotify.com/track/2Hc4t9N2nt37oO4sF9BynI
110,Memories,"Maroon 5",307758,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
111,"when the party's over","Billie Eilish",302011,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
112,"MIDDLE CHILD","J. Cole",300974,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
113,Skechers,DripReport,300030,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
114,"Sum 2 Prove","Lil Baby",299817,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S
115,"SLOW DANCING IN THE DARK",Joji,298097,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
116,Wow.,"Post Malone",296159,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
117,"No Idea","Don Toliver",295602,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
118,SAD!,XXXTENTACION,295558,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
119,"BELIEVE IT",PARTYNEXTDOOR,293384,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
120,"Happy Does","Kenny Chesney",289211,https://open.spotify.com/track/2v08cjj3Th8RpfJgluECcj
121,"Qué Maldición","Banda MS de Sergio Lizárraga",289105,https://open.spotify.com/track/2RxC2peY3FtrurYmbbmanr
122,Moana,G-Eazy,288443,https://open.spotify.com/track/1Tfxi7N3DW4zvAuVjt9g8X
123,"Watermelon Sugar","Harry Styles",286969,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
124,Suge,DaBaby,286928,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
125,July,"Noah Cyrus",286172,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
126,"Truth Hurts",Lizzo,285580,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
127,"Goodbyes (Feat. Young Thug)","Post Malone",285100,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
128,SUGAR,BROCKHAMPTON,283758,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
129,"Lo Mein","Lil Uzi Vert",283151,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
130,"XO Tour Llif3","Lil Uzi Vert",281160,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
131,"Know Your Worth",Khalid,279505,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
132,"Low Down","Lil Baby",277833,https://open.spotify.com/track/5m0yZ33oOy0yYBtdTXuxQe
133,"Moral of the Story",Ashe,277524,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
134,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",277171,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
135,"Emotionally Scarred","Lil Baby",277012,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm
136,"rockstar (feat. 21 Savage)","Post Malone",276668,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
