,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Space Cadet (feat. Gunna)","Metro Boomin",397562,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
56,lovely,"Billie Eilish",387799,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
57,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,387710,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
58,"Look Alive (feat. Drake)","BlocBoy JB",384554,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
59,Topanga,"Trippie Redd",382370,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
60,"Calling My Spirit","Kodak Black",378905,https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5
61,"No Stylist (feat. Drake)","French Montana",378402,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
62,"The Middle",Zedd,376789,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
63,Splashin,"Rich The Kid",376470,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
64,"Solo de Mi","Bad Bunny",360487,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
65,"All The Stars (with SZA)","Kendrick Lamar",359942,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
66,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,357990,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
67,Youngblood,"5 Seconds of Summer",355206,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
68,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",355018,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
69,"Don't Stop Me Now - Remastered 2011",Queen,354346,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
70,"10 Freaky Girls (with 21 Savage)","Metro Boomin",354001,https://open.spotify.com/track/0AluA5RNsa4Cx6XRhf2hWZ
71,"Young Dumb & Broke",Khalid,351567,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
72,"Havana (feat. Young Thug)","Camila Cabello",351559,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
73,"Ric Flair Drip (& Metro Boomin)",Offset,346113,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
74,idontwannabeyouanymore,"Billie Eilish",343965,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
75,"Demons and Angels (feat. Juice WRLD)","A Boogie Wit da Hoodie",340831,https://open.spotify.com/track/3L19besdNQzd342qL78xqm
76,"Beautiful (feat. Camila Cabello)",Bazzi,340037,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
77,"All Girls Are The Same","Juice WRLD",335389,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
78,"I Love It (& Lil Pump)","Kanye West",334753,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
79,"New Rules","Dua Lipa",334410,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
80,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",331742,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
81,Noticed,"Lil Mosey",329103,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
82,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",322405,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
83,"One Kiss (with Dua Lipa)","Calvin Harris",321844,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
84,"Billie Jean","Michael Jackson",319582,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5
85,changes,XXXTENTACION,316522,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
86,"Pure Cocaine","Lil Baby",315568,https://open.spotify.com/track/577YBGuskWkVDCxZrLRB4v
87,Congratulations,"Post Malone",314602,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
88,"no tears left to cry","Ariana Grande",313319,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
89,Closer,"The Chainsmokers",312886,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
90,"Bohemian Rhapsody - Remastered 2011",Queen,312345,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
91,Shallow,"Lady Gaga",307957,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
92,"XO Tour Llif3","Lil Uzi Vert",304287,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
93,"Falling Down - Bonus Track","Lil Peep",301907,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
94,"Lean Wit Me","Juice WRLD",300312,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
95,"Love Lies (with Normani)",Khalid,295851,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
96,breathin,"Ariana Grande",295472,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
97,"1400 / 999 Freestyle","Trippie Redd",295450,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R
98,"What Lovers Do","Maroon 5",295331,https://open.spotify.com/track/0WdGQhoAP2LBsqr5Jhit2g
99,STARGAZING,"Travis Scott",294829,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
100,"Plug Walk","Rich The Kid",291837,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
101,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",291216,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
102,"Project Dreams",Marshmello,287196,https://open.spotify.com/track/0PowxVSTY2uh1CPc8EPKyX
103,"Best Part (feat. Daniel Caesar)",H.E.R.,285721,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
104,"God is a woman","Ariana Grande",284757,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
105,"can't leave without it","21 Savage",284018,https://open.spotify.com/track/0hPLZrnDgtKxrym1BHjDhd
106,"MoshPit (feat. Juice WRLD)","Kodak Black",283816,https://open.spotify.com/track/4KX8vXbouybtUptEyYxtIk
107,"Body (feat. brando)","Loud Luxury",282046,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
108,"Te Boté - Remix","Nio Garcia",279638,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
109,"Feel It Still","Portugal. The Man",276827,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
110,"TIC TOC",6ix9ine,276108,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
111,"Shape of You","Ed Sheeran",275049,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
112,"Candy Paint","Post Malone",273781,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
113,"No Brainer","DJ Khaled",272686,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
114,MAMA,6ix9ine,269796,https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo
115,Uproar,"Lil Wayne",269394,https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk
116,"Everybody Dies In Their Nightmares",XXXTENTACION,269167,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
117,"Finesse - Remix; feat. Cardi B","Bruno Mars",268229,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
118,"Walk It Talk It",Migos,265381,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
119,Mine,Bazzi,264603,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
120,"Bad Liar","Imagine Dragons",263920,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
121,goosebumps,"Travis Scott",263492,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
122,"Lucky You (feat. Joyner Lucas)",Eminem,261265,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
123,Natural,"Imagine Dragons",259324,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
124,HUMBLE.,"Kendrick Lamar",258618,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
125,"I Like Me Better",Lauv,258173,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
126,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse","Nicki Minaj",257043,https://open.spotify.com/track/4Uy3kNxW2kB8AEoXljEcth
127,"WORKIN ME",Quavo,256074,https://open.spotify.com/track/4MAsYGSgxsaj73dC2lvFC4
128,"New Patek","Lil Uzi Vert",255025,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
129,"Hey Ya!",Outkast,248069,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM
130,"Hide (feat. Seezyn)","Juice WRLD",244862,https://open.spotify.com/track/6rz0dTA0PdhXImFV5EjM0w
131,"One Dance",Drake,244304,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
132,"Faucet Failure","Ski Mask The Slump God",242552,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
133,Speechless,"Dan + Shay",242112,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
134,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",241730,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
135,"It Wasn't Me",Shaggy,241087,https://open.spotify.com/track/2mSc8PnYodyYi3SkdfU4jT
136,"Don't Come Out The House (with 21 Savage)","Metro Boomin",240864,https://open.spotify.com/track/2Grb4G6t9VIqo6moKUloom
137,"Look At Me!",XXXTENTACION,240541,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
138,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",238705,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
139,"Bodak Yellow","Cardi B",238687,https://open.spotify.com/track/6KBYefIoo7KydImq1uUQlL
140,Lust,"Lil Skies",237937,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S
141,"Despacito - Remix","Luis Fonsi",236748,https://open.spotify.com/track/6rPO02ozF3bM7NnOV4h6s2
142,"Be Alright","Dean Lewis",236386,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
143,Trip,"Ella Mai",235047,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA
