,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1526958,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Tory Lanez",1110426,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
3,"Party Girl",StaySolidRocky,1004272,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
4,"Blinding Lights","The Weeknd",963856,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,"Blueberry Faygo","Lil Mosey",960746,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
6,"Watermelon Sugar","Harry Styles",929570,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
7,"Wash Us In The Blood","Kanye West",848388,https://open.spotify.com/track/7mEUjhl6aTztdHCrxoTgBG
8,"THE SCOTTS","THE SCOTTS",789901,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
9,"We Paid (feat. 42 Dugg)","Lil Baby",771456,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
10,"Savage Love (Laxed - Siren Beat)","Jawsh 685",765273,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
11,"The Box","Roddy Ricch",752590,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
12,"Roses - Imanbek Remix","SAINt JHN",695827,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
13,"Toosie Slide",Drake,678547,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
14,"The Bigger Picture","Lil Baby",675238,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1
15,"Savage Remix (feat. Beyoncé)",Beyoncé,643041,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
16,"After Party","Don Toliver",632819,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
17,"Rain On Me (with Ariana Grande)","Lady Gaga",625289,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
18,"WHATS POPPIN","Jack Harlow",610452,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
19,"Walk Em Down (feat. Roddy Ricch)","Roddy Ricch",602664,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
20,"Sunday Best",Surfaces,599460,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
21,"death bed (coffee for your head)",Powfu,596919,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
22,"Chicago Freestyle (feat. Giveon)",Drake,569561,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
23,"How You Like That",BLACKPINK,567494,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
24,"Intentions (feat. Quavo)","Justin Bieber",553093,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
25,Circles,"Post Malone",541645,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
26,"GO (feat. Juice WRLD)","The Kid LAROI",513728,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew
27,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",508951,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
28,"Flex (feat. Juice WRLD)","Polo G",496398,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
29,"Life Is Good (feat. Drake)",Future,486657,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
30,"Don't Start Now","Dua Lipa",480442,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
31,"Prospect (ft. Lil Baby)","iann dior",480315,https://open.spotify.com/track/4iHSE5R1U8jf84tRn52xRt
32,Falling,"Trevor Daniel",476471,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
33,"Lucid Dreams","Juice WRLD",476129,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
34,"Stuck with U (with Justin Bieber)","Ariana Grande",475223,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
35,"Break My Heart","Dua Lipa",474633,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
36,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,465439,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
37,"Tommy Lee (feat. Post Malone)","Tyla Yaweh",464406,https://open.spotify.com/track/5QZKcQDp0tCcvMdyqEciBV
38,Righteous,"Juice WRLD",463363,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
39,"Adore You","Harry Styles",462093,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
40,"Before You Go","Lewis Capaldi",450507,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
41,Supalonely,BENEE,444605,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
42,goosebumps,"Travis Scott",443803,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
43,"Someone You Loved","Lewis Capaldi",430226,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
44,"Say So","Doja Cat",428746,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
45,"HIGHEST IN THE ROOM","Travis Scott",425090,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
46,"Be Kind (with Halsey)",Marshmello,422330,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
47,GOOBA,6ix9ine,420130,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
48,"hot girl bummer",blackbear,420028,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
49,"Ballin' (with Roddy Ricch)",Mustard,417938,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
50,"High Fashion (feat. Mustard)","Roddy Ricch",414259,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
51,21,"Polo G",405128,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
52,ROXANNE,"Arizona Zervas",404517,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
53,"Emotionally Scarred","Lil Baby",402470,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm
54,Robbery,"Juice WRLD",400428,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
55,Myron,"Lil Uzi Vert",392458,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
56,"All Girls Are The Same","Juice WRLD",391910,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
57,"Deep End Freestyle","Sleepy Hallow",387716,https://open.spotify.com/track/2AlYncTpVHKwHb55F9lF6O
58,"Girls in the Hood","Megan Thee Stallion",383918,https://open.spotify.com/track/6WbTTAGKrQtCQvmc5BuYfh
59,"ily (i love you baby) (feat. Emilee)","Surf Mesa",382104,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
60,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",379698,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
61,"Go Crazy","Chris Brown",376044,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
62,"SICKO MODE","Travis Scott",373109,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
63,"Stunnin' (feat. Harm Franklin)","Curtis Waters",363749,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
64,"Shotta Flow 5","NLE Choppa",362562,https://open.spotify.com/track/1orjH4IkSH9VrWmRCToKV8
65,BOP,DaBaby,356288,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
66,"Chasin' You","Morgan Wallen",353814,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
67,"Play Date","Melanie Martinez",352931,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
68,"Dance Monkey","Tones And I",349870,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
69,"Godzilla (feat. Juice WRLD)",Eminem,349017,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
70,"Jocelyn Flores",XXXTENTACION,348862,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
71,"Hasta Que Dios Diga","Anuel AA",342737,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
72,"Back At It (feat. Lil Baby)","Lil Mosey",333499,https://open.spotify.com/track/07twUUK8jWUCVsrSoEgbLW
73,"Breaking Me",Topic,329332,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
74,Jangueo,"Anuel AA",325948,https://open.spotify.com/track/7KKh0ujp8agIiCrkiJhf81
75,SAD!,XXXTENTACION,317802,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
76,"In Your Eyes","The Weeknd",315960,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
77,"everything i wanted","Billie Eilish",313977,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
78,"Whiskey Glasses","Morgan Wallen",313749,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
79,"Are You Bored Yet? (feat. Clairo)",Wallows,312684,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
80,"Lose Somebody",Kygo,312363,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
81,"That Way - Bonus Track","Lil Uzi Vert",301597,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
82,"If the World Was Ending (feat. Julia Michaels)","JP Saxe",298776,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
83,Reggaetonera,"Anuel AA",298104,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH
84,Ransom,"Lil Tecca",296381,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
85,"MIDDLE CHILD","J. Cole",295677,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
86,"TKN (feat. Travis Scott)",ROSALÍA,294155,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
87,Savage,"Megan Thee Stallion",293206,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
88,P2,"Lil Uzi Vert",291838,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
89,"Turks (with Gunna & ft. Travis Scott)",NAV,291689,https://open.spotify.com/track/7IMwEtpAiJanqF6vQteZN2
90,PTSD,"G Herbo",291425,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
91,"Money In The Grave (Drake ft. Rick Ross)",Drake,290023,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
92,Dior,"Pop Smoke",289789,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
93,"SLOW DANCING IN THE DARK",Joji,289257,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
94,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",288320,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
95,"OUT WEST (feat. Young Thug)",JACKBOYS,288175,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
96,"Yo Perreo Sola","Bad Bunny",288072,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
97,"...And To Those I Love, Thanks For Sticking Around",$uicideboy$,285942,https://open.spotify.com/track/41LhQUkElADQ5YUbpYv2D0
98,"Heartless (feat. Morgan Wallen)",Diplo,284029,https://open.spotify.com/track/3FU6urUVsgXa6RBuV2PdRk
99,"lovely (with Khalid)","Billie Eilish",283459,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
100,China,"Anuel AA",282074,https://open.spotify.com/track/0KkIkfsLEJbrcIhYsCL7L5
101,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",281619,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
102,Suge,DaBaby,281438,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
103,"Magic In The Hamptons (feat. Lil Yachty)","Social House",279262,https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp
