,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"WAP (feat. Megan Thee Stallion)","Cardi B",2314661,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1440082,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
3,"Mood (feat. iann dior)",24kGoldn,1420198,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",967178,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
5,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,963189,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
6,Dynamite,BTS,897335,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
7,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",892474,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI
8,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Tory Lanez",877340,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
9,"Wishing Well","Juice WRLD",868066,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
10,"Come & Go (with Marshmello)","Juice WRLD",831549,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
11,"Blinding Lights","The Weeknd",772343,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12,Heather,"Conan Gray",767840,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
13,"Mood Swings (feat. Lil Tjay)","Pop Smoke",754172,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
14,"Smile (with The Weeknd)","Juice WRLD",743635,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
15,"Watermelon Sugar","Harry Styles",727757,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
16,"Ice Cream (with Selena Gomez)",BLACKPINK,676482,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
17,"Blueberry Faygo","Lil Mosey",635667,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
18,"Savage Love (Laxed - Siren Beat)","Jawsh 685",604650,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
19,"Blastoff (feat. Juice Wrld & Trippie Redd)","Internet Money",603234,https://open.spotify.com/track/2rFsFjq0D9JAmc0APpCO6P
20,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",577257,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
21,"my ex's best friend (with blackbear)","Machine Gun Kelly",566338,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w
22,"Over Now (with The Weeknd)","Calvin Harris",552851,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR
23,"Go Crazy","Chris Brown",537266,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
24,"7 Summers","Morgan Wallen",525872,https://open.spotify.com/track/0Z0kNthq0sS4lvGz9SSlBF
25,"Midnight Sky","Miley Cyrus",519466,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
26,"Roses - Imanbek Remix","SAINt JHN",509211,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
27,"Party Girl",StaySolidRocky,496561,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
28,Hawái,Maluma,488992,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
29,"GREECE (feat. Drake)","DJ Khaled",478229,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
30,Conversations,"Juice WRLD",470844,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob
