,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Nonstop,Drake,3421046,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
2,"Don’t Matter To Me",Drake,2325570,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
3,Emotionless,Drake,2214043,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
4,"I'm Upset",Drake,2209287,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
5,"Mob Ties",Drake,2130845,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
6,"In My Feelings",Drake,2107095,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
7,Elevate,Drake,2047637,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
8,"God's Plan",Drake,1910644,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
9,Survival,Drake,1848150,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
10,"8 Out Of 10",Drake,1814384,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
11,"Nice For What",Drake,1804380,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
12,"Talk Up",Drake,1802612,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
13,"Can’t Take A Joke",Drake,1794481,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
14,"Lucid Dreams","Juice WRLD",1703188,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
15,SAD!,XXXTENTACION,1603823,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
16,"Sandra’s Rose",Drake,1473006,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
17,"Summer Games",Drake,1361751,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
18,"Blue Tint",Drake,1282260,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
19,Moonlight,XXXTENTACION,1234099,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
20,Jaded,Drake,1224487,https://open.spotify.com/track/3jipFRgLyKK0oJoG1pKicx
21,"Is There More",Drake,1203549,https://open.spotify.com/track/2QoOyCFpDo4NblMLP7vBRT
22,Peak,Drake,1168881,https://open.spotify.com/track/2RAeY8dPj6KmStROfEigjV
23,Finesse,Drake,1152276,https://open.spotify.com/track/590bUp2TKTfTS9NfiD4Nmn
24,"That’s How You Feel",Drake,1135345,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
25,"I Like It","Cardi B",1125642,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
26,"After Dark",Drake,1107838,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
27,"Ratchet Happy Birthday",Drake,982628,https://open.spotify.com/track/16x6tqeSkIjoLEf7SJLlYy
28,"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5",945270,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
29,"Yes Indeed","Lil Baby",941753,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
30,"Taste (feat. Offset)",Tyga,941460,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
31,"Better Now","Post Malone",935393,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
32,"March 14",Drake,873787,https://open.spotify.com/track/40IiSjljbAhrSbdJ3HxSfH
33,"Jocelyn Flores",XXXTENTACION,836935,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
