,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,VALENTINO,24kGoldn,467835,https://open.spotify.com/track/0c7K73roy6RW4ebDkf4yGh
56,"Did It Again","Lil Tecca",461328,https://open.spotify.com/track/4guBZjUyrGoHsTahO3IHdj
57,"MIDDLE CHILD","J. Cole",455265,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
58,Saint-Tropez,"Post Malone",448598,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
59,"Hate Me (with Juice WRLD)","Ellie Goulding",438542,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
60,"God Is","Kanye West",438243,https://open.spotify.com/track/6xRWoYwfwIKnT8bQGzKbxR
61,"Start Wit Me (feat. Gunna)","Roddy Ricch",433905,https://open.spotify.com/track/5ravc2aiNoYmu9m37diYXW
62,Trigger,"Major Lazer",432334,https://open.spotify.com/track/0Z26mbSHJ1dkUu7g9DDgif
63,Liar,"Camila Cabello",426757,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
64,Somebody,"Internet Money",421988,https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi
65,"Pop Out (feat. Lil Tjay)","Polo G",420656,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
66,"Good Thing (with Kehlani)",Zedd,419140,https://open.spotify.com/track/5aUSEPNd3m5xliFK4pn5mU
67,"SICKO MODE","Travis Scott",413520,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
68,Wow.,"Post Malone",409219,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
69,Water,"Kanye West",406286,https://open.spotify.com/track/454Epa1vrCGFddHXKyC1kb
70,Thriller,"Michael Jackson",393906,https://open.spotify.com/track/3S2R0EVwBSAVMd5UMgKTL0
71,"Talk (feat. Disclosure)",Khalid,382999,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
72,Lalala,Y2K,382623,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
73,"It Might Be Time","Tame Impala",379408,https://open.spotify.com/track/2P0NiuAfypaw5UZJoo0n0o
74,"Heartless (feat. Morgan Wallen)",Diplo,373485,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
75,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",372334,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
76,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",371957,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
77,"Hands On","Kanye West",369591,https://open.spotify.com/track/7r6aR2f57resC5r93LwMfK
