,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mo Bamba","Sheck Wes",1608306,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
2,"SICKO MODE","Travis Scott",1509841,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
3,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1462785,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
4,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1382289,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
5,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1343108,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
6,"Without Me",Halsey,1201895,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",1085607,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
8,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,1046723,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
9,"MIA (feat. Drake)","Bad Bunny",996113,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
10,"Lucid Dreams","Juice WRLD",960313,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
11,Happier,Marshmello,951865,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
12,Better,Khalid,921784,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
13,"Fine China",Future,853451,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
14,"when the party's over","Billie Eilish",820530,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
15,SAD!,XXXTENTACION,797849,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
16,"Wake Up in the Sky","Gucci Mane",790429,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
17,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",766457,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
18,Nonstop,Drake,757810,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
19,Moonlight,XXXTENTACION,748874,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
20,"Better Now","Post Malone",735407,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
21,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,700336,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
22,"Leave Me Alone","Flipp Dinero",697995,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
23,Money,"Cardi B",685545,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
24,"Falling Down - Bonus Track","Lil Peep",685162,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
25,Noticed,"Lil Mosey",682001,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
26,"Taste (feat. Offset)",Tyga,631854,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
27,"No Stylist (feat. Drake)","French Montana",630426,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
28,"Yes Indeed","Lil Baby",628031,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
29,"I Love It (& Lil Pump)","Kanye West",623890,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
