,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"bad guy","Billie Eilish",2669001,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2,"Old Town Road","Lil Nas X",1763654,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
3,"wish you were gay","Billie Eilish",1694631,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
4,"bury a friend","Billie Eilish",1408331,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
5,"when the party's over","Billie Eilish",1299560,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
6,xanny,"Billie Eilish",1294482,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY
7,"all the good girls go to hell","Billie Eilish",1236837,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
8,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1215113,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
9,"my strange addiction","Billie Eilish",1206422,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
10,"MIDDLE CHILD","J. Cole",1206372,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
11,"you should see me in a crown","Billie Eilish",1165221,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
12,Wow.,"Post Malone",1013801,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
13,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",1009243,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
14,"i love you","Billie Eilish",1002336,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
15,"Murder On My Mind","YNW Melly",995092,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
16,"7 rings","Ariana Grande",994622,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
17,ilomilo,"Billie Eilish",983573,https://open.spotify.com/track/7qEKqBCD2vE5vIBsrUitpD
18,"Going Bad (feat. Drake)","Meek Mill",951090,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
19,"listen before i go","Billie Eilish",931825,https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE
20,Sucker,"Jonas Brothers",906352,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
21,"Racks in the Middle (feat. Roddy Ricch and Hit-Boy)","Nipsey Hussle",890275,https://open.spotify.com/track/6ya8ejoKgw906Y8LWclqrp
22,"break up with your girlfriend, i'm bored","Ariana Grande",849462,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
23,8,"Billie Eilish",842474,https://open.spotify.com/track/6X29iaaazwho3ab7GNue5r
24,"Mixed Personalities (feat. Kanye West)","YNW Melly",831472,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
25,Robbery,"Juice WRLD",823408,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
26,"Pure Water (with Migos)",Mustard,795949,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
27,"a lot","21 Savage",702719,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
28,goodbye,"Billie Eilish",662046,https://open.spotify.com/track/3LgWsmilsrWXiPYQFRD0T7
29,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",653682,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
30,Talk,Khalid,633986,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
31,"Dedication (feat. Kendrick Lamar)","Nipsey Hussle",626420,https://open.spotify.com/track/6fIjnWrv46njJHLDAY2JdC
32,"Faucet Failure","Ski Mask The Slump God",619103,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
33,"Last Time That I Checc'd (feat. YG)","Nipsey Hussle",600413,https://open.spotify.com/track/39xWBHPM4E9MwzEy5gbM7p
34,"thank u, next","Ariana Grande",595102,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
35,"Without Me",Halsey,590444,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
36,"SICKO MODE","Travis Scott",587953,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
37,"Look Back at It","A Boogie Wit da Hoodie",583443,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
38,"Grinding All My Life","Nipsey Hussle",576237,https://open.spotify.com/track/3R9j8urSPiBbapNbyuSYkE
39,Thotiana,Blueface,575839,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
40,Happier,Marshmello,569825,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
41,"My Bad",Khalid,566939,https://open.spotify.com/track/1DUSuNhF8P5vUGNPpQiZa5
42,Better,Khalid,560783,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
43,"Double Up (feat. Belly and Dom Kennedy)","Nipsey Hussle",559297,https://open.spotify.com/track/4iVD0fTHGxV9JWloujsL3s
44,"Dancing With A Stranger (with Normani)","Sam Smith",557629,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
45,"Envy Me",Calboy,557091,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
46,lovely,"Billie Eilish",548202,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
47,"Here With Me",Marshmello,548156,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
48,I,"Lil Skies",536420,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
49,"Lucid Dreams","Juice WRLD",525248,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
50,"Please Me","Cardi B",521847,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
51,"Eastside (with Halsey & Khalid)","benny blanco",515613,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
52,"Let Me Down Slowly","Alec Benjamin",503874,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
53,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",503714,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
54,Shallow,"Lady Gaga",501424,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
55,"Better Now","Post Malone",483535,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
56,"Saturday Nights",Khalid,473147,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
57,"Mo Bamba","Sheck Wes",464797,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
58,Splashin,"Rich The Kid",456795,https://open.spotify.com/track/3KLo7ByvjCNyBrfz5DZ2mO
59,"i'm so tired...",Lauv,447628,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
60,SAD!,XXXTENTACION,443772,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
61,idontwannabeyouanymore,"Billie Eilish",436768,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
62,"The Bones","Maren Morris",426185,https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL
63,"Wake Up in the Sky","Gucci Mane",420618,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
64,"Beautiful Crazy","Luke Combs",419668,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
65,"Hear Me Calling","Juice WRLD",417382,https://open.spotify.com/track/13ZyrkCDmRz5xY3seuAWYk
66,Fast,"Juice WRLD",413023,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ
67,"Don't Call Me Up",Mabel,410086,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
68,"Leave Me Alone","Flipp Dinero",400839,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
69,"Armed And Dangerous","Juice WRLD",400328,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
70,"High Hopes","Panic! At The Disco",395248,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
71,Moonlight,XXXTENTACION,392930,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
72,"Space Cadet (feat. Gunna)","Metro Boomin",390264,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
