,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Forever (feat. Post Malone & Clever)","Justin Bieber",492865,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
56,"OUT WEST (feat. Young Thug)",JACKBOYS,492500,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
57,"Una Vez","Bad Bunny",490307,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
58,SUGAR,BROCKHAMPTON,490073,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
59,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",489947,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
60,"Lucid Dreams","Juice WRLD",461259,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
61,PTSD,"G Herbo",447644,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
62,"P FKN R","Bad Bunny",443689,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
63,Yummy,"Justin Bieber",434470,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
64,Robbery,"Juice WRLD",431234,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
65,"Futsal Shuffle 2020","Lil Uzi Vert",425561,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
66,"CITY OF ANGELS",24kGoldn,424658,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
67,"bad guy","Billie Eilish",422451,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
68,"HIGHEST IN THE ROOM","Travis Scott",421565,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
69,<3,"Bad Bunny",419235,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
70,Tusa,"KAROL G",415137,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
71,"10,000 Hours (with Justin Bieber)","Dan + Shay",412333,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
72,"Puesto Pa' Guerrial","Bad Bunny",407242,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
73,VIBEZ,DaBaby,400662,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
74,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,398462,https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464
75,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",395771,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
76,Suge,DaBaby,393676,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
77,"No Idea","Don Toliver",386014,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
78,"Hablamos Mañana","Bad Bunny",382881,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
79,Heartless,"The Weeknd",371627,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
80,"The Other Side (from Trolls World Tour)",SZA,369871,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
81,"Money In The Grave (Drake ft. Rick Ross)",Drake,364850,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
82,"To Die For","Sam Smith",363494,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
83,Memories,"Maroon 5",362393,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
84,Ransom,"Lil Tecca",356839,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
85,"All Girls Are The Same","Juice WRLD",356352,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
86,"Make No Sense","YoungBoy Never Broke Again",349877,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
87,Wow.,"Post Malone",347677,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
88,"Goodbyes (Feat. Young Thug)","Post Malone",345002,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
89,"ORANGE SODA","Baby Keem",342804,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
90,"Emotionally Scarred","Lil Baby",341555,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm
91,"Know Your Worth",Khalid,340282,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
92,"Truth Hurts",Lizzo,340246,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
93,"223's (feat. 9lokknine)","YNW Melly",338729,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
