,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Circles,"Post Malone",1495914,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
2,Ransom,"Lil Tecca",1084139,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
3,"Truth Hurts",Lizzo,1045410,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
4,BOP,DaBaby,1018852,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
5,"223's (feat. 9lokknine)","YNW Melly",1018097,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
6,"Goodbyes (Feat. Young Thug)","Post Malone",960239,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
7,Saint-Tropez,"Post Malone",933220,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
8,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",894457,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
9,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",893198,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
10,"Hot (feat. Gunna)","Young Thug",893038,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
11,"No Guidance (feat. Drake)","Chris Brown",870022,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
12,VIBEZ,DaBaby,869050,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
13,"hot girl bummer",blackbear,866574,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
14,"Enemies (feat. DaBaby)","Post Malone",848476,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
15,Camelot,"NLE Choppa",842684,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
16,"Someone You Loved","Lewis Capaldi",840109,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,Panini,"Lil Nas X",830674,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
18,"Money In The Grave (Drake ft. Rick Ross)",Drake,816894,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
19,Señorita,"Shawn Mendes",791293,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
20,INTRO,DaBaby,707986,https://open.spotify.com/track/77KMttn3Lic7ZQKDlPqp8v
21,"bad guy","Billie Eilish",676611,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,"Baby (Lil Baby feat. DaBaby)","Quality Control",660959,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
23,"Good as Hell",Lizzo,651588,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
24,"Beautiful People (feat. Khalid)","Ed Sheeran",645826,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
25,Memories,"Maroon 5",643819,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
26,"Hollywood's Bleeding","Post Malone",642927,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
27,Suge,DaBaby,634495,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
28,Graveyard,Halsey,603786,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
29,"How Do You Sleep?","Sam Smith",601984,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
30,"The London (feat. J. Cole & Travis Scott)","J. Cole",588537,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
31,Lalala,Y2K,582369,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
32,"Die For Me (feat. Future & Halsey)","Post Malone",570751,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
33,"RAW SHIT (feat. Migos)",DaBaby,568892,https://open.spotify.com/track/1CCDIow4pPYyJYzhtTUYz2
34,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",563680,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
35,"Bad Bad Bad (feat. Lil Baby)","Young Thug",560699,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
36,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",551364,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
37,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,549181,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
38,"Panini - DaBaby Remix","Lil Nas X",541491,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
39,Wow.,"Post Malone",536103,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
40,"Did It Again","Lil Tecca",529461,https://open.spotify.com/track/6alCTRgBPoeAFi2N4il9Q4
41,F.N,"Lil Tjay",511606,https://open.spotify.com/track/0UPBidRYcgJ2mjZlk08V8x
42,"boyfriend (with Social House)","Ariana Grande",510341,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
43,"Dance Monkey","Tones And I",496359,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
44,"Pop Out (feat. Lil Tjay)","Polo G",475452,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
45,Lover,"Taylor Swift",473704,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
46,"Writing on the Wall (feat. Post Malone & Cardi B)","French Montana",462544,https://open.spotify.com/track/7x9nXsowok1JszkVztI5NI
47,"Ransom (with Juice WRLD) - Remix","Lil Tecca",455748,https://open.spotify.com/track/0DZJACISivjWjscIp5Kg1q
48,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",452523,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
49,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion",451724,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
50,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,451449,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
51,"Talk (feat. Disclosure)",Khalid,449463,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
52,"Behind Barz - Bonus",Drake,439209,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
53,"MIDDLE CHILD","J. Cole",436713,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
54,"A Thousand Bad Times","Post Malone",433717,https://open.spotify.com/track/2J0NXdHr6MYvKDSxB7k3V2
55,Liar,"Camila Cabello",412251,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
56,"You Need To Calm Down","Taylor Swift",409101,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
57,"I Don't Care (with Justin Bieber)","Ed Sheeran",400113,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
58,"Heartless (feat. Morgan Wallen)",Diplo,393537,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
59,"GOSPEL (feat. Chance The Rapper, Gucci Mane & YK Osiris)",DaBaby,385282,https://open.spotify.com/track/0WoAkdHmgPmEXfiBox1flk
60,"It's You","Ali Gatie",383506,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
61,"Stuck In A Dream (feat. Gunna)","Lil Mosey",381577,https://open.spotify.com/track/5hDAT527wXWNBnJlujhuUs
62,Motivation,Normani,380644,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
63,"One Thing Right",Marshmello,375938,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
64,I.F.L.Y.,Bazzi,374675,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
65,"I'm Gonna Be","Post Malone",370661,https://open.spotify.com/track/1ckLp8lCl8LipXI0ypX72m
66,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",370198,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
67,"POP STAR (feat. Kevin Gates)",DaBaby,370022,https://open.spotify.com/track/2TsD9kSbgYx5fSNRsoNURE
68,"when the party's over","Billie Eilish",367346,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
69,"Love Me","Lil Tecca",365600,https://open.spotify.com/track/3TLwAp3uX1nKsVxrDhNPOL
