,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,2561681,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,2161213,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
3,"Lucid Dreams","Juice WRLD",1557299,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
4,"No Brainer","DJ Khaled",1385465,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
5,SAD!,XXXTENTACION,1245452,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
6,"Taste (feat. Offset)",Tyga,1211947,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
7,"I Like It","Cardi B",1142236,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
8,Nonstop,Drake,1090389,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
9,Moonlight,XXXTENTACION,1051852,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
10,"Better Now","Post Malone",1013995,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
11,"Eastside (with Halsey & Khalid)","benny blanco",994338,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
12,"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5",982792,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
13,"God is a woman","Ariana Grande",940067,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
14,"Yes Indeed","Lil Baby",907626,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
15,"Nice For What",Drake,827768,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
16,"God's Plan",Drake,740045,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
17,"Psycho (feat. Ty Dolla $ign)","Post Malone",716962,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
18,Youngblood,"5 Seconds of Summer",695520,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
