,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Lucky You (feat. Joyner Lucas)",Eminem,2527389,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
2,"The Ringer",Eminem,2330879,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
3,Greatest,Eminem,1667995,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
4,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1592257,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
5,"SICKO MODE","Travis Scott",1589524,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
6,"Not Alike (feat. Royce Da 5'9)",Eminem,1550978,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
7,"In My Feelings",Drake,1433818,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
8,Kamikaze,Eminem,1402515,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
9,"Lucid Dreams","Juice WRLD",1368702,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
10,Fall,Eminem,1349887,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
11,Normal,Eminem,1298289,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
12,"Stepping Stone",Eminem,1181418,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
13,"Paul - Skit","Paul Rosenberg",1107656,https://open.spotify.com/track/0Uv5Kp8sEnriJjkX4oLfNI
14,Nonstop,Drake,1053844,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
15,"Taste (feat. Offset)",Tyga,1013878,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
16,SAD!,XXXTENTACION,1006733,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
17,"Venom - Music From The Motion Picture",Eminem,986536,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
18,"Em Calls Paul - Skit",Eminem,975212,https://open.spotify.com/track/6B3zy3LOKHndqsviCr2z15
19,Moonlight,XXXTENTACION,927207,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
20,"Nice Guy (with Jessie Reyez)",Eminem,910685,https://open.spotify.com/track/09FfQO3PqHO4HIJL511Ksi
21,"Good Guy (feat. Jessie Reyez)",Eminem,905039,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
22,"Eastside (with Halsey & Khalid)","benny blanco",863897,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
23,"I Like It","Cardi B",857671,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
24,"Better Now","Post Malone",846895,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
25,Happier,Marshmello,834927,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
