,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Yes Indeed","Lil Baby",536661,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
54,Intro,"Meek Mill",530611,https://open.spotify.com/track/3EQ9QP2E7wjYQba8OSPBst
55,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",521617,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
56,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",518706,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
57,"Respect the Game","Meek Mill",517741,https://open.spotify.com/track/6pUBrvKfJL4qmn95mxU7rC
58,"Fine China",Future,511475,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
59,"Falling Down - Bonus Track","Lil Peep",509614,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
60,"The Christmas Song (Merry Christmas To You)","Nat King Cole",509152,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
61,"Jocelyn Flores",XXXTENTACION,507524,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
62,"lovely (with Khalid)","Billie Eilish",499612,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
63,"White Christmas","Bing Crosby",498597,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
64,STOOPID,6ix9ine,492735,https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K
65,"Calling My Spirit","Kodak Black",492458,https://open.spotify.com/track/6bXSYxP6WDlNCr6Jk1H3MW
66,"Tic Tac Toe (feat. Kodak Black)","Meek Mill",489364,https://open.spotify.com/track/35J4wXQeRuHNOEArMy6FOe
67,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",485316,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
