,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Dancing With A Stranger (with Normani)","Sam Smith",399329,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
57,"Light It Up (with Tyga & Chris Brown)",Marshmello,397176,https://open.spotify.com/track/4Q8aDd3H6LF8t4eY7So9O8
58,"Power is Power",SZA,391246,https://open.spotify.com/track/35RDmXJ59YYGNlv1KfTGsP
59,"High Hopes","Panic! At The Disco",383934,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
60,"Shotta Flow","NLE Choppa",380770,https://open.spotify.com/track/4dAMdQ6g4kGmnc1MDHsg77
61,"Mo Bamba","Sheck Wes",379774,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
62,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",375451,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
63,"i'm so tired...",Lauv,374629,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
64,Thotiana,Blueface,372559,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
65,"3 Nights","Dominic Fike",371359,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
66,"Let Me Down Slowly","Alec Benjamin",368037,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
67,"i love you","Billie Eilish",364689,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
68,"rockstar (feat. 21 Savage)","Post Malone",364648,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
69,Juice,Lizzo,359630,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl
70,"Be Alright","Dean Lewis",353147,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k
71,"Hey Look Ma, I Made It","Panic! At The Disco",353132,https://open.spotify.com/track/22oEJW6r2rMb9z4IntfyEa
72,"Leave Me Alone","Flipp Dinero",350999,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
73,Splashin,"Rich The Kid",346648,https://open.spotify.com/track/3KLo7ByvjCNyBrfz5DZ2mO
74,"Armed And Dangerous","Juice WRLD",346614,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
75,"Wake Up in the Sky","Gucci Mane",346520,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
76,Moonlight,XXXTENTACION,345752,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
77,"Numb Numb Juice","ScHoolboy Q",345746,https://open.spotify.com/track/6tByydPskASjm9jTPkNQq0
78,"Out Of Love","Alessia Cara",342827,https://open.spotify.com/track/4WzhjxvLP95y7AMDy0Atwb
79,"Racks in the Middle (feat. Roddy Ricch and Hit-Boy)","Nipsey Hussle",340540,https://open.spotify.com/track/6ya8ejoKgw906Y8LWclqrp
80,"Beautiful Crazy","Luke Combs",339433,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
81,"Sweet but Psycho","Ava Max",339290,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
82,"Walk Me Home",P!nk,337477,https://open.spotify.com/track/6jfEZdUJ2Yla6h7gTJgKuo
83,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)","DJ Snake",336825,https://open.spotify.com/track/6mCqxnyOhr4tHMbRbQL4Yn
84,"Clout (feat. Cardi B)",Offset,333620,https://open.spotify.com/track/59ywHNwwchG4nZJMLyxSzd
85,"Who Do You Love","The Chainsmokers",332697,https://open.spotify.com/track/7ql71hBakyMi0Lxiq3Mugs
86,"Act Up","City Girls",331470,https://open.spotify.com/track/3A2yGHWIzmGEIolwonU69h
87,"I Fall Apart","Post Malone",328896,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
88,"Kill This Love",BLACKPINK,326524,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
89,idontwannabeyouanymore,"Billie Eilish",326344,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
90,"Jocelyn Flores",XXXTENTACION,324540,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
91,"Please Me","Cardi B",323839,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
92,"My Bad",Khalid,323569,https://open.spotify.com/track/2XKFnwB6djxrJCjR3PdeRb
93,"Worth It","YK Osiris",322761,https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2
94,"Space Cadet (feat. Gunna)","Metro Boomin",321567,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
95,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,319515,https://open.spotify.com/track/3y3brCCecHC3Db18aIOnny
96,"Psycho (feat. Ty Dolla $ign)","Post Malone",318698,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
97,"Taste (feat. Offset)",Tyga,318034,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
98,"Yes Indeed","Lil Baby",317916,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
99,"ocean eyes","Billie Eilish",316170,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
