,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"4 Da Gang (with Roddy Ricch)","42 Dugg",380842,https://open.spotify.com/track/1mAey8kEPmDM2icL56kS9d
55,"WITHOUT YOU","The Kid LAROI",379944,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
56,"Mood (feat. iann dior)",24kGoldn,378013,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
57,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,377734,https://open.spotify.com/track/1QL7nSDZCwZMnbisV4KOXt
58,"Your Power","Billie Eilish",371319,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
59,734,"Juice WRLD",362820,https://open.spotify.com/track/6vB8bdQCCTDDIH8fhRfuXA
60,"All Girls Are The Same","Juice WRLD",362324,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
61,"Killer (feat. Jack Harlow & Cordae) - Remix",Eminem,362314,https://open.spotify.com/track/7zl7kehxesNEo2pYkKXTSe
62,"Voice of the Heroes","Lil Baby",362140,https://open.spotify.com/track/7eO7rOwH5qVD3UWpO97qTI
63,"Hold On","Justin Bieber",362140,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
64,Wockesha,"Moneybagg Yo",359328,https://open.spotify.com/track/0nqhKXDjsyBMvbeWmgijD0
65,Freaks,"Surf Curse",357418,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
66,"Dick (feat. Doja Cat)",StarBoi3,348576,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
67,"No Role Modelz","J. Cole",345472,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
68,"Save Your Tears","The Weeknd",345455,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
69,"i n t e r l u d e","J. Cole",340458,https://open.spotify.com/track/08LwMWf5Tcfsd752EPzFV0
70,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,339936,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
71,"Watermelon Sugar","Harry Styles",336932,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
72,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",333713,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
73,Straightenin,Migos,333626,https://open.spotify.com/track/3X2r2CnHOJeV5YekPTgBnK
74,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",331029,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
75,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,330889,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
76,"9 5 . s o u t h","J. Cole",330331,https://open.spotify.com/track/5R691ipUYRDYW6ehapjoj6
77,Circles,"Post Malone",329501,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
78,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",324043,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
79,"Lil Bit",Nelly,321031,https://open.spotify.com/track/0NmuYnjETG3u3qx0OmEJev
80,"Wishing Well","Juice WRLD",320212,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
81,Fiel,"Los Legendarios",313437,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
82,"Laugh Now Cry Later (feat. Lil Durk)",Drake,311931,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
83,"Come & Go (with Marshmello)","Juice WRLD",311344,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
84,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",310929,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
85,"Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay",310385,https://open.spotify.com/track/1dg3qy5DjoJodawfOCgrTP
86,"Dreams - 2004 Remaster","Fleetwood Mac",310159,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
87,Tampa,"Cico P",309722,https://open.spotify.com/track/5jc4Qcs98R4ZDku8ictuE3
88,"We're Good","Dua Lipa",299552,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
89,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",298716,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
90,"As the World Caves In","Matt Maltese",297136,https://open.spotify.com/track/4JE6agBLHGA5TaF6FlqfBD
91,"What You Know Bout Love","Pop Smoke",295884,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
92,"Seeing Green (with Drake & Lil Wayne)","Nicki Minaj",295543,https://open.spotify.com/track/1TZv3bujNaYz646eezRE91
93,34+35,"Ariana Grande",293944,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
94,"WHOLE LOTTA MONEY",BIA,290936,https://open.spotify.com/track/5yorXJWdBan1Vlh116ZtQ7
95,Dynamite,BTS,288293,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
96,"Talking to the Moon","Bruno Mars",287070,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
97,Ski,"Young Stoner Life",281757,https://open.spotify.com/track/6755DFiZ7CWe2WMdTGW5C1
98,Robbery,"Juice WRLD",280992,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
99,"WAP (feat. Megan Thee Stallion)","Cardi B",275940,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
100,Arcade,"Duncan Laurence",275753,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
101,"The Spins","Mac Miller",274105,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
102,"you broke me first","Tate McRae",270941,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
103,"Someone You Loved","Lewis Capaldi",270883,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
104,positions,"Ariana Grande",269105,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
105,"Big Gangsta","Kevin Gates",267922,https://open.spotify.com/track/03ERnTvSV5fy8WAyvA4uNP
106,goosebumps,"Travis Scott",267861,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
107,"Blueberry Faygo","Lil Mosey",267262,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
108,"Mr. Brightside","The Killers",266668,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
109,"Whiskey Glasses","Morgan Wallen",266136,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
110,"20 Min","Lil Uzi Vert",263235,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
111,"Electric Love",BØRNS,263139,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
112,"Don't Start Now","Dua Lipa",258628,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
113,"Wasted On You","Morgan Wallen",256947,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
114,"The Box","Roddy Ricch",256501,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
