,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Circles,"Post Malone",1729280,https://open.spotify.com/track/4VginDwYTP2eaHJzO0QMjG
2,Ransom,"Lil Tecca",1544386,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
3,"Truth Hurts",Lizzo,1174673,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
4,Señorita,"Shawn Mendes",1071508,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
5,"Goodbyes (Feat. Young Thug)","Post Malone",959149,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
6,"No Guidance (feat. Drake)","Chris Brown",905861,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
7,Lover,"Taylor Swift",879388,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
8,"Money In The Grave (Drake ft. Rick Ross)",Drake,872070,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
9,"The London (feat. J. Cole & Travis Scott)","J. Cole",759943,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
10,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",755626,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
11,Panini,"Lil Nas X",754021,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
12,"bad guy","Billie Eilish",704359,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
13,Suge,DaBaby,702605,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
14,"The Man","Taylor Swift",671371,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70
15,"Someone You Loved","Lewis Capaldi",658370,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
16,"Beautiful People (feat. Khalid)","Ed Sheeran",651795,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
17,"boyfriend (with Social House)","Ariana Grande",648975,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
18,"Did It Again","Lil Tecca",641108,https://open.spotify.com/track/6alCTRgBPoeAFi2N4il9Q4
19,Lalala,Y2K,636966,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
20,"You Need To Calm Down","Taylor Swift",625582,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
21,"Good as Hell",Lizzo,614046,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
22,"Baby (Lil Baby feat. DaBaby)","Quality Control",613495,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
23,"Bad Bad Bad (feat. Lil Baby)","Young Thug",591566,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
24,"Ransom (with Juice WRLD) - Remix","Lil Tecca",567811,https://open.spotify.com/track/0DZJACISivjWjscIp5Kg1q
25,"How Do You Sleep?","Sam Smith",567774,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
26,"Cruel Summer","Taylor Swift",552213,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
